,precision,recall,f1-score,support
bat,0.6981132075471698,0.6166666666666667,0.6548672566371682,60.0
cup,0.6911764705882353,0.7833333333333333,0.734375,60.0
drop,0.7746478873239436,0.9166666666666666,0.8396946564885496,60.0
eat,0.6666666666666666,0.7666666666666667,0.7131782945736435,60.0
fish,0.9333333333333333,0.9333333333333333,0.9333333333333333,60.0
hot,0.9122807017543859,0.8666666666666667,0.8888888888888888,60.0
jump,0.8717948717948718,0.5666666666666667,0.6868686868686869,60.0
milk,0.9117647058823529,0.5166666666666667,0.6595744680851063,60.0
pen,0.41379310344827586,0.6,0.4897959183673469,60.0
red,0.5161290322580645,0.5333333333333333,0.5245901639344263,60.0
accuracy,0.71,0.71,0.71,0.71
macro avg,0.73896999805973,0.71,0.712516666717715,600.0
weighted avg,0.73896999805973,0.71,0.712516666717715,600.0
