,precision,recall,f1-score,support
bat,1.0,0.95,0.9743589743589743,20.0
cup,1.0,1.0,1.0,20.0
drop,1.0,0.95,0.9743589743589743,20.0
eat,1.0,1.0,1.0,20.0
fish,1.0,1.0,1.0,20.0
hot,1.0,1.0,1.0,20.0
jump,0.9523809523809523,1.0,0.975609756097561,20.0
milk,0.9523809523809523,1.0,0.975609756097561,20.0
pen,1.0,0.95,0.9743589743589743,20.0
red,0.9523809523809523,1.0,0.975609756097561,20.0
accuracy,0.985,0.985,0.985,0.985
macro avg,0.9857142857142858,0.985,0.9849906191369605,200.0
weighted avg,0.9857142857142857,0.985,0.9849906191369605,200.0
