,precision,recall,f1-score,support
bat,0.7142857142857143,0.5555555555555556,0.625,9.0
cup,0.75,0.6666666666666666,0.7058823529411765,9.0
drop,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
eat,0.6666666666666666,0.8888888888888888,0.7619047619047619,9.0
fish,0.8181818181818182,1.0,0.9,9.0
hot,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
jump,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
milk,1.0,0.6666666666666666,0.8,9.0
pen,0.5454545454545454,0.6666666666666666,0.6,9.0
red,0.625,0.5555555555555556,0.5882352941176471,9.0
accuracy,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555
macro avg,0.76751443001443,0.7555555555555555,0.753657796451914,90.0
weighted avg,0.76751443001443,0.7555555555555555,0.7536577964519141,90.0
