set_num,folder,location,angle,zoom,split
1,set_01,unlabelled,unknown,no,train
2,set_02,owen,unknown,no,train
3,set_03,lib_L2,normal,no,train
4,set_04,lib_L2,up,no,train
5,set_05,lib_L2,left,no,train
6,set_06,lib_L2,right,no,train
7,set_07,room_lit,normal,no,train
8,set_08,room_lit,up,no,train
9,set_09,room_lit,left,no,validation
10,set_10,room_lit,right,no,test
11,set_11,unlabelled,unknown,no,validation
12,set_12,lib_L4,normal,no,train
13,set_13,lib_L4,up,no,train
14,set_14,lib_L4,left,no,train
15,set_15,lib_L4,right,no,validation
16,set_16,owen,unknown,no,train
17,set_17,room_natural,normal,no,train
18,set_18,room_natural,up,no,test
19,set_19,room_natural,left,no,train
20,set_20,room_natural,right,no,train
21,set_21,lib_L4,normal,zoom1,train
22,set_22,lib_L4,up,zoom1,train
23,set_23,lib_L4,left,zoom1,test
24,set_24,lib_L4,right,zoom1,train
25,set_25,lib_L4,down,zoom1,train
26,set_26,lib_L2,normal,zoom1,test
27,set_27,lib_L2,up,zoom1,validation
28,set_28,lib_L2,left,zoom1,train
29,set_29,lib_L2,right,zoom1,train
30,set_30,lib_L2,down,zoom1,test
31,set_31,room_lit,normal,zoom1,train
32,set_32,room_lit,up,zoom1,train
33,set_33,room_lit,left,zoom1,train
34,set_34,room_lit,right,zoom1,test
35,set_35,room_lit,down,zoom1,train
36,set_36,room_natural,normal,zoom1,validation
37,set_37,room_natural,up,zoom1,train
38,set_38,room_natural,left,zoom1,train
39,set_39,room_natural,right,zoom1,train
40,set_40,room_natural,down,zoom1,train
41,set_41,room_lit,normal,zoom1,test
42,set_42,room_lit,up,zoom1,train
43,set_43,room_lit,left,zoom1,train
44,set_44,room_lit,right,zoom1,validation
45,set_45,room_lit,down,zoom1,train
46,set_46,room_lit,normal,zoom1,train
47,set_47,room_lit,up,zoom1,train
48,set_48,room_lit,left,zoom1,train
49,set_49,room_lit,right,zoom1,train
50,set_50,room_lit,down,zoom1,validation
51,set_51,lib_L2_natural,normal,zoom1,test
52,set_52,lib_L2_natural,up,zoom1,train
53,set_53,lib_L2_natural,left,zoom1,validation
54,set_54,lib_L2_natural,right,zoom1,train
55,set_55,lib_L2_natural,down,zoom1,train
56,set_56,harmer,normal,zoom1,train
57,set_57,harmer,up,zoom1,validation
58,set_58,harmer,left,zoom1,train
59,set_59,harmer,right,zoom1,train
60,set_60,harmer,down,zoom1,test
