aug_set_name,source_set,aug_type,split,frames
aug_train_01,set_01,OpticalDistortion,train,600
aug_train_08,set_08,OpticalDistortion,train,600
aug_train_06,set_06,Rotate,train,600
aug_train_09,set_12,Contrast,train,600
aug_train_04,set_04,Perspective,train,600
aug_train_13,set_17,Downsample,train,600
aug_train_07,set_07,HorizontalFlip,train,600
aug_train_10,set_13,Rotate,train,600
aug_train_15,set_20,Sharpen,train,600
aug_train_05,set_05,Equalize,train,600
aug_train_02,set_02,RGBShift,train,600
aug_train_16,set_21,ProcessCroppedImage,train,600
aug_train_03,set_03,RGBShift,train,600
aug_train_11,set_14,RGBShift,train,600
aug_train_12,set_16,Scale,train,600
aug_train_14,set_19,HorizontalFlip,train,600
aug_train_17,set_22,Contrast,train,600
aug_train_19,set_25,Brightness,train,600
aug_train_18,set_24,Perspective,train,600
aug_train_20,set_28,Equalize,train,600
aug_train_21,set_29,Rotate,train,600
aug_train_22,set_31,Scale,train,600
aug_train_23,set_32,GaussianBlur,train,600
aug_train_30,set_42,Downsample,train,600
aug_train_28,set_39,ProcessCroppedImage,train,600
aug_train_25,set_35,Scale,train,600
aug_train_24,set_33,GaussNoise,train,600
aug_train_26,set_37,Brightness,train,600
aug_train_27,set_38,Equalize,train,600
aug_train_29,set_40,HorizontalFlip,train,600
aug_train_31,set_43,OpticalDistortion,train,600
aug_train_33,set_46,HorizontalFlip,train,600
aug_train_40,set_56,Sharpen,train,600
aug_train_32,set_45,Contrast,train,600
aug_train_34,set_47,Brightness,train,600
aug_train_43,set_01,Downsample,train,600
aug_train_35,set_48,Scale,train,600
aug_train_38,set_54,GaussianBlur,train,600
aug_train_36,set_49,Rotate,train,600
aug_train_39,set_55,GaussianBlur,train,600
aug_train_49,set_07,Sharpen,train,600
aug_train_37,set_52,GaussNoise,train,600
aug_train_41,set_58,Rotate,train,600
aug_train_45,set_03,Contrast,train,600
aug_train_42,set_59,Rotate,train,600
aug_train_51,set_12,ProcessCroppedImage,train,600
aug_train_44,set_02,GaussianBlur,train,600
aug_train_56,set_19,TemporalShift,train,600
aug_train_46,set_04,Translate,train,600
aug_train_47,set_05,GaussianBlur,train,600
aug_train_59,set_22,TemporalShift,train,600
aug_train_48,set_06,Perspective,train,600
aug_train_50,set_08,HorizontalFlip,train,600
aug_train_63,set_29,Downsample,train,600
aug_train_53,set_14,Brightness,train,600
aug_train_64,set_31,TemporalShift,train,600
aug_train_52,set_13,Perspective,train,600
aug_train_55,set_17,GaussianBlur,train,600
aug_train_54,set_16,GaussNoise,train,600
aug_train_67,set_35,Sharpen,train,600
aug_train_58,set_21,RGBShift,train,600
aug_train_66,set_33,ProcessCroppedImage,train,600
aug_train_57,set_20,HorizontalFlip,train,600
aug_train_69,set_38,TemporalShift,train,600
aug_train_71,set_40,Sharpen,train,600
aug_train_60,set_24,OpticalDistortion,train,600
aug_train_61,set_25,GaussNoise,train,600
aug_train_62,set_28,Translate,train,600
aug_train_65,set_32,Contrast,train,600
aug_train_74,set_45,ProcessCroppedImage,train,600
aug_train_68,set_37,Translate,train,600
aug_train_80,set_54,Downsample,train,600
aug_train_70,set_39,Translate,train,600
aug_train_72,set_42,Perspective,train,600
aug_train_81,set_55,TemporalShift,train,600
aug_train_73,set_43,Equalize,train,600
aug_train_83,set_58,TemporalShift,train,600
aug_train_76,set_47,GaussNoise,train,600
aug_train_85,set_35,ProcessCroppedImage,train,600
aug_train_78,set_49,Perspective,train,600
aug_train_77,set_48,Translate,train,600
aug_train_90,set_37,Downsample,train,600
aug_train_75,set_46,OpticalDistortion,train,600
aug_train_79,set_52,RGBShift,train,600
aug_train_91,set_48,Sharpen,train,600
aug_train_84,set_59,Translate,train,600
aug_train_82,set_56,Equalize,train,600
aug_train_87,set_47,Scale,train,600
aug_train_86,set_07,Contrast,train,600
aug_train_89,set_12,GaussNoise,train,600
aug_train_88,set_17,Brightness,train,600
aug_validation_03,set_15,Sharpen,validation,600
aug_train_92,set_29,OpticalDistortion,train,600
aug_train_93,set_06,Scale,train,600
aug_train_94,set_16,Equalize,train,600
aug_validation_04,set_27,ProcessCroppedImage,validation,600
aug_validation_05,set_36,Downsample,validation,600
aug_train_95,set_58,RGBShift,train,600
aug_train_96,set_19,Brightness,train,600
aug_validation_01,set_09,Translate,validation,600
aug_validation_13,set_53,TemporalShift,validation,600
aug_validation_02,set_11,GaussianBlur,validation,600
aug_validation_07,set_50,RGBShift,validation,600
aug_validation_06,set_44,Equalize,validation,600
aug_validation_08,set_53,Rotate,validation,600
aug_validation_09,set_57,Perspective,validation,600
aug_validation_10,set_27,HorizontalFlip,validation,600
aug_test_05,set_30,TemporalShift,test,600
aug_validation_11,set_36,OpticalDistortion,validation,600
aug_validation_12,set_50,GaussNoise,validation,600
aug_validation_14,set_09,Brightness,validation,600
aug_validation_15,set_11,Contrast,validation,600
aug_validation_16,set_44,Scale,validation,600
aug_test_01,set_10,Perspective,test,600
aug_test_03,set_23,Translate,test,600
aug_test_04,set_26,Contrast,test,600
aug_test_02,set_18,Scale,test,600
aug_test_14,set_34,Sharpen,test,600
aug_test_15,set_23,Downsample,test,600
aug_test_06,set_34,Brightness,test,600
aug_test_07,set_41,Equalize,test,600
aug_test_16,set_10,ProcessCroppedImage,test,600
aug_test_08,set_51,RGBShift,test,600
aug_test_09,set_60,HorizontalFlip,test,600
aug_test_10,set_51,GaussianBlur,test,600
aug_test_11,set_18,GaussNoise,test,600
aug_test_12,set_41,Rotate,test,600
aug_test_13,set_60,OpticalDistortion,test,600
