aug_set_name,source_set,aug_type,split,frames
aug_train_01,set_01,Sharpen,train,600
aug_train_04,set_04,Contrast,train,600
aug_train_10,set_13,Equalize,train,600
aug_train_02,set_02,Perspective,train,600
aug_train_03,set_03,Equalize,train,600
aug_train_06,set_06,Brightness,train,600
aug_train_09,set_12,GaussNoise,train,600
aug_train_07,set_07,Perspective,train,600
aug_train_08,set_08,RandomShadow,train,600
aug_train_05,set_05,GaussNoise,train,600
aug_train_11,set_14,ElasticTransform,train,600
aug_train_17,set_22,ProcessCroppedImage,train,600
aug_train_16,set_21,ProcessCroppedImage,train,600
aug_train_12,set_16,HorizontalFlip,train,600
aug_train_14,set_19,HorizontalFlip,train,600
aug_train_19,set_25,Brightness,train,600
aug_train_18,set_24,GridDistortion,train,600
aug_train_13,set_17,Perspective,train,600
aug_train_20,set_28,GaussNoise,train,600
aug_train_24,set_33,ProcessCroppedImage,train,600
aug_train_15,set_20,Contrast,train,600
aug_train_30,set_42,Sharpen,train,600
aug_train_23,set_32,HorizontalFlip,train,600
aug_train_22,set_31,ElasticTransform,train,600
aug_train_21,set_29,GridDistortion,train,600
aug_train_25,set_35,HorizontalFlip,train,600
aug_train_27,set_38,Scale,train,600
aug_train_26,set_37,ElasticTransform,train,600
aug_train_29,set_40,Scale,train,600
aug_train_28,set_39,Contrast,train,600
aug_train_32,set_45,RGBShift,train,600
aug_train_31,set_43,RGBShift,train,600
aug_train_42,set_59,Sharpen,train,600
aug_train_38,set_54,ProcessCroppedImage,train,600
aug_train_34,set_47,CLAHEVarying,train,600
aug_train_33,set_46,GridDistortion,train,600
aug_train_35,set_48,RandomShadow,train,600
aug_train_36,set_49,ElasticTransform,train,600
aug_train_37,set_52,Brightness,train,600
aug_train_41,set_58,Rotate,train,600
aug_train_39,set_55,RandomShadow,train,600
aug_train_40,set_56,Translate,train,600
aug_train_45,set_03,CLAHEVarying,train,600
aug_train_43,set_01,Brightness,train,600
aug_train_44,set_02,GaussNoise,train,600
aug_train_46,set_04,Translate,train,600
aug_train_47,set_05,Rotate,train,600
aug_train_48,set_06,Scale,train,600
aug_train_50,set_08,Perspective,train,600
aug_train_49,set_07,Rotate,train,600
aug_train_51,set_12,HorizontalFlip,train,600
aug_train_53,set_14,HorizontalFlip,train,600
aug_train_52,set_13,Scale,train,600
aug_train_55,set_17,Translate,train,600
aug_train_63,set_29,Sharpen,train,600
aug_train_54,set_16,Perspective,train,600
aug_train_56,set_19,Equalize,train,600
aug_train_58,set_21,Scale,train,600
aug_train_57,set_20,RandomShadow,train,600
aug_train_59,set_22,GridDistortion,train,600
aug_train_60,set_24,Equalize,train,600
aug_train_61,set_25,RandomShadow,train,600
aug_train_62,set_28,Rotate,train,600
aug_train_71,set_40,ProcessCroppedImage,train,600
aug_train_74,set_45,Sharpen,train,600
aug_train_66,set_33,Translate,train,600
aug_train_64,set_31,GridDistortion,train,600
aug_train_65,set_32,GaussNoise,train,600
aug_train_68,set_37,CLAHEVarying,train,600
aug_train_76,set_47,ProcessCroppedImage,train,600
aug_train_67,set_35,RGBShift,train,600
aug_train_69,set_38,RandomShadow,train,600
aug_train_70,set_39,Equalize,train,600
aug_train_73,set_43,Translate,train,600
aug_train_72,set_42,CLAHEVarying,train,600
aug_train_75,set_46,CLAHEVarying,train,600
aug_train_77,set_48,Contrast,train,600
aug_train_78,set_49,Brightness,train,600
aug_train_79,set_52,RGBShift,train,600
aug_train_81,set_55,Translate,train,600
aug_train_80,set_54,Brightness,train,600
aug_train_82,set_56,RGBShift,train,600
aug_train_83,set_58,Equalize,train,600
aug_train_84,set_59,Scale,train,600
aug_train_86,set_07,GaussNoise,train,600
aug_train_85,set_03,Rotate,train,600
aug_train_95,set_14,Sharpen,train,600
aug_train_89,set_12,Contrast,train,600
aug_train_87,set_25,Rotate,train,600
aug_train_88,set_21,Perspective,train,600
aug_train_90,set_47,ElasticTransform,train,600
aug_train_91,set_20,GridDistortion,train,600
aug_train_92,set_16,CLAHEVarying,train,600
aug_validation_06,set_44,ProcessCroppedImage,validation,600
aug_train_93,set_29,Contrast,train,600
aug_train_94,set_24,ElasticTransform,train,600
aug_train_96,set_54,RGBShift,train,600
aug_validation_01,set_09,CLAHEVarying,validation,600
aug_validation_02,set_11,Contrast,validation,600
aug_validation_12,set_36,Sharpen,validation,600
aug_validation_04,set_27,RandomShadow,validation,600
aug_validation_05,set_36,HorizontalFlip,validation,600
aug_validation_03,set_15,Translate,validation,600
aug_validation_07,set_50,Scale,validation,600
aug_test_02,set_18,Sharpen,test,600
aug_validation_08,set_53,Brightness,validation,600
aug_validation_10,set_27,Perspective,validation,600
aug_validation_09,set_57,GaussNoise,validation,600
aug_validation_11,set_57,Equalize,validation,600
aug_validation_13,set_11,RGBShift,validation,600
aug_validation_14,set_09,Rotate,validation,600
aug_test_08,set_51,ProcessCroppedImage,test,600
aug_validation_16,set_53,GridDistortion,validation,600
aug_test_01,set_10,HorizontalFlip,test,600
aug_validation_15,set_44,ElasticTransform,validation,600
aug_test_03,set_23,Brightness,test,600
aug_test_04,set_26,Translate,test,600
aug_test_05,set_30,GaussNoise,test,600
aug_test_07,set_41,Contrast,test,600
aug_test_06,set_34,Perspective,test,600
aug_test_09,set_60,Equalize,test,600
aug_test_10,set_60,GridDistortion,test,600
aug_test_11,set_18,Rotate,test,600
aug_test_13,set_26,ElasticTransform,test,600
aug_test_12,set_51,Scale,test,600
aug_test_14,set_34,RandomShadow,test,600
aug_test_15,set_10,RGBShift,test,600
aug_test_16,set_23,CLAHEVarying,test,600
