aug_set_name,source_set,aug_type,split,frames
aug_train_07,set_07,FrameMorph,train,600
aug_train_06,set_06,FrameMorph,train,600
aug_train_04,set_04,Sharpen,train,600
aug_train_05,set_05,DropRefill,train,600
aug_train_03,set_03,DropRefill,train,600
aug_train_13,set_17,FrameMorph,train,600
aug_train_12,set_16,ProcessCroppedImage,train,600
aug_train_17,set_22,SmoothDrift,train,600
aug_train_18,set_24,DropRefill,train,600
aug_train_10,set_13,HorizontalFlip,train,600
aug_train_01,set_01,Brightness,train,600
aug_train_09,set_12,Rotate,train,600
aug_train_02,set_02,Translate,train,600
aug_train_08,set_08,GaussNoise,train,600
aug_train_11,set_14,Perspective,train,600
aug_train_14,set_19,Brightness,train,600
aug_train_22,set_31,SmoothDrift,train,600
aug_train_15,set_20,Rotate,train,600
aug_train_23,set_32,ProcessCroppedImage,train,600
aug_train_16,set_21,Perspective,train,600
aug_train_28,set_39,ProcessCroppedImage,train,600
aug_train_19,set_25,Contrast,train,600
aug_train_31,set_43,ProcessCroppedImage,train,600
aug_train_32,set_45,FrameMorph,train,600
aug_train_21,set_29,Scale,train,600
aug_train_20,set_28,Equalize,train,600
aug_train_25,set_35,RGBShift,train,600
aug_train_24,set_33,HorizontalFlip,train,600
aug_train_26,set_37,HorizontalFlip,train,600
aug_train_27,set_38,Brightness,train,600
aug_train_39,set_55,Sharpen,train,600
aug_train_29,set_40,Translate,train,600
aug_train_41,set_58,Sharpen,train,600
aug_train_42,set_59,DropRefill,train,600
aug_train_30,set_42,Scale,train,600
aug_train_43,set_01,SmoothDrift,train,600
aug_train_33,set_46,Perspective,train,600
aug_train_34,set_47,Brightness,train,600
aug_train_47,set_05,FrameMorph,train,600
aug_train_35,set_48,CoarseDropout,train,600
aug_train_36,set_49,CoarseDropout,train,600
aug_train_38,set_54,Equalize,train,600
aug_train_37,set_52,GaussNoise,train,600
aug_train_40,set_56,GaussNoise,train,600
aug_train_53,set_14,DropRefill,train,600
aug_train_44,set_02,RGBShift,train,600
aug_train_46,set_04,Brightness,train,600
aug_train_45,set_03,Contrast,train,600
aug_train_56,set_19,FrameMorph,train,600
aug_train_57,set_20,DropRefill,train,600
aug_train_48,set_06,CoarseDropout,train,600
aug_train_49,set_07,CoarseDropout,train,600
aug_train_50,set_08,Contrast,train,600
aug_train_62,set_28,SmoothDrift,train,600
aug_train_51,set_12,Scale,train,600
aug_train_52,set_13,Translate,train,600
aug_train_54,set_16,Equalize,train,600
aug_train_55,set_17,HorizontalFlip,train,600
aug_train_58,set_21,Equalize,train,600
aug_train_59,set_22,Translate,train,600
aug_train_69,set_38,Sharpen,train,600
aug_train_60,set_24,Scale,train,600
aug_train_61,set_25,RGBShift,train,600
aug_train_71,set_40,ProcessCroppedImage,train,600
aug_train_63,set_29,CoarseDropout,train,600
aug_train_65,set_32,Contrast,train,600
aug_train_64,set_31,GaussNoise,train,600
aug_train_75,set_46,SmoothDrift,train,600
aug_train_66,set_33,CoarseDropout,train,600
aug_train_67,set_35,Contrast,train,600
aug_train_79,set_52,Sharpen,train,600
aug_train_68,set_37,Scale,train,600
aug_train_70,set_39,Equalize,train,600
aug_train_72,set_42,Translate,train,600
aug_train_73,set_43,Rotate,train,600
aug_train_74,set_45,Perspective,train,600
aug_train_86,set_42,Sharpen,train,600
aug_train_76,set_47,Scale,train,600
aug_train_77,set_48,HorizontalFlip,train,600
aug_train_78,set_49,Contrast,train,600
aug_train_88,set_46,ProcessCroppedImage,train,600
aug_train_81,set_55,Translate,train,600
aug_train_80,set_54,GaussNoise,train,600
aug_train_82,set_56,Brightness,train,600
aug_train_92,set_49,SmoothDrift,train,600
aug_train_83,set_58,Equalize,train,600
aug_train_84,set_59,Perspective,train,600
aug_train_85,set_37,Rotate,train,600
aug_train_87,set_08,RGBShift,train,600
aug_train_89,set_55,RGBShift,train,600
aug_validation_03,set_15,ProcessCroppedImage,validation,600
aug_train_93,set_16,Rotate,train,600
aug_train_91,set_20,GaussNoise,train,600
aug_train_95,set_19,Rotate,train,600
aug_validation_07,set_50,Sharpen,validation,600
aug_train_94,set_06,HorizontalFlip,train,600
aug_train_96,set_33,Perspective,train,600
aug_train_90,set_40,RGBShift,train,600
aug_validation_11,set_50,SmoothDrift,validation,600
aug_validation_12,set_27,DropRefill,validation,600
aug_validation_02,set_11,Scale,validation,600
aug_validation_14,set_44,FrameMorph,validation,600
aug_validation_01,set_09,Perspective,validation,600
aug_validation_04,set_27,RGBShift,validation,600
aug_validation_05,set_36,HorizontalFlip,validation,600
aug_test_02,set_18,FrameMorph,test,600
aug_test_03,set_23,Sharpen,test,600
aug_validation_06,set_44,Rotate,validation,600
aug_validation_08,set_53,CoarseDropout,validation,600
aug_validation_09,set_57,Brightness,validation,600
aug_validation_10,set_36,GaussNoise,validation,600
aug_validation_13,set_11,Equalize,validation,600
aug_validation_15,set_09,Contrast,validation,600
aug_validation_16,set_15,Translate,validation,600
aug_test_01,set_10,Translate,test,600
aug_test_04,set_26,Brightness,test,600
aug_test_05,set_30,Perspective,test,600
aug_test_07,set_41,HorizontalFlip,test,600
aug_test_13,set_51,ProcessCroppedImage,test,600
aug_test_14,set_34,DropRefill,test,600
aug_test_06,set_34,Rotate,test,600
aug_test_08,set_51,Equalize,test,600
aug_test_16,set_10,SmoothDrift,test,600
aug_test_09,set_60,GaussNoise,test,600
aug_test_10,set_18,RGBShift,test,600
aug_test_11,set_26,CoarseDropout,test,600
aug_test_12,set_60,Scale,test,600
aug_test_15,set_23,Contrast,test,600
