aug_set_name,source_set,aug_type,split,frames_written,frames_resized
aug_test_01,set_10,RGBShift,test,600,0
aug_test_02,set_18,Equalize,test,600,0
aug_test_03,set_23,GaussianBlur,test,600,0
aug_test_04,set_26,Rotate,test,600,0
aug_test_05,set_30,Downsample,test,600,0
aug_test_06,set_34,Translate,test,600,0
aug_test_07,set_41,OpticalDistortion,test,600,0
aug_test_08,set_51,GaussNoise,test,600,0
aug_test_09,set_60,Contrast,test,600,0
aug_test_10,set_60,Scale,test,600,0
aug_test_11,set_34,Perspective,test,600,0
aug_train_01,set_01,Equalize,train,600,0
aug_train_02,set_02,HorizontalFlip,train,600,0
aug_train_03,set_03,HorizontalFlip,train,600,0
aug_train_04,set_04,Rotate,train,600,0
aug_train_05,set_05,Scale,train,600,0
aug_train_06,set_06,Downsample,train,600,0
aug_train_07,set_07,TemporalShift,train,600,0
aug_train_08,set_08,Rotate,train,600,0
aug_train_09,set_12,OpticalDistortion,train,600,0
aug_train_10,set_13,Sharpen,train,600,0
aug_train_11,set_14,GaussianBlur,train,600,0
aug_train_12,set_16,RGBShift,train,600,0
aug_train_13,set_17,Sharpen,train,600,0
aug_train_14,set_19,TemporalShift,train,600,0
aug_train_15,set_20,Brightness,train,600,0
aug_train_16,set_21,Brightness,train,600,0
aug_train_17,set_22,Translate,train,600,0
aug_train_18,set_24,Perspective,train,600,0
aug_train_19,set_25,GaussianBlur,train,600,0
aug_train_20,set_28,ProcessCroppedImage,train,600,0
aug_train_21,set_29,Equalize,train,600,0
aug_train_22,set_31,Rotate,train,600,0
aug_train_23,set_32,Contrast,train,600,0
aug_train_24,set_33,Equalize,train,600,0
aug_train_25,set_35,Downsample,train,600,0
aug_train_26,set_37,OpticalDistortion,train,600,0
aug_train_27,set_38,Scale,train,600,0
aug_train_28,set_39,Downsample,train,600,0
aug_train_29,set_40,HorizontalFlip,train,600,0
aug_train_30,set_42,RGBShift,train,600,0
aug_train_31,set_43,Scale,train,600,0
aug_train_32,set_45,Perspective,train,600,0
aug_train_33,set_46,ProcessCroppedImage,train,600,0
aug_train_34,set_47,Translate,train,600,0
aug_train_35,set_48,GaussianBlur,train,600,0
aug_train_36,set_49,GaussNoise,train,600,0
aug_train_37,set_52,RGBShift,train,600,0
aug_train_38,set_54,Translate,train,600,0
aug_train_39,set_55,Brightness,train,600,0
aug_train_40,set_56,Perspective,train,600,0
aug_train_41,set_58,TemporalShift,train,600,0
aug_train_42,set_59,Contrast,train,600,0
aug_train_43,set_47,OpticalDistortion,train,600,0
aug_train_44,set_17,GaussNoise,train,600,0
aug_train_45,set_46,Sharpen,train,600,0
aug_train_46,set_33,GaussNoise,train,600,0
aug_train_47,set_43,Contrast,train,600,0
aug_train_48,set_02,ProcessCroppedImage,train,600,0
aug_validation_01,set_09,Sharpen,validation,600,0
aug_validation_02,set_11,Contrast,validation,600,0
aug_validation_03,set_15,OpticalDistortion,validation,600,0
aug_validation_04,set_27,Perspective,validation,600,0
aug_validation_05,set_36,Translate,validation,600,0
aug_validation_06,set_44,GaussianBlur,validation,600,0
aug_validation_07,set_50,HorizontalFlip,validation,600,0
aug_validation_08,set_53,Scale,validation,600,0
aug_validation_09,set_57,GaussNoise,validation,600,0
aug_validation_10,set_27,Rotate,validation,600,0
aug_validation_11,set_15,RGBShift,validation,600,0
