aug_set_name,source_set,aug_type,split,frames
aug_train_01,set_01,Sharpen,train,600
aug_train_03,set_03,ProcessCroppedImage,train,600
aug_train_08,set_08,ProcessCroppedImage,train,600
aug_train_04,set_04,Contrast,train,600
aug_train_10,set_13,Scale,train,600
aug_train_07,set_07,GaussNoise,train,600
aug_train_05,set_05,Translate,train,600
aug_train_06,set_06,GaussNoise,train,600
aug_train_09,set_12,RandomShadow,train,600
aug_train_02,set_02,ElasticTransform,train,600
aug_train_11,set_14,Rotate,train,600
aug_train_12,set_16,Perspective,train,600
aug_train_13,set_17,GaussNoise,train,600
aug_train_15,set_20,HorizontalFlip,train,600
aug_train_14,set_19,CLAHEVarying,train,600
aug_train_16,set_21,GridDistortion,train,600
aug_train_18,set_24,HorizontalFlip,train,600
aug_train_19,set_25,RandomShadow,train,600
aug_train_20,set_28,GridDistortion,train,600
aug_train_17,set_22,Equalize,train,600
aug_train_21,set_29,Scale,train,600
aug_train_22,set_31,Scale,train,600
aug_train_23,set_32,Perspective,train,600
aug_train_24,set_33,Rotate,train,600
aug_train_25,set_35,Brightness,train,600
aug_train_26,set_37,Contrast,train,600
aug_train_27,set_38,Brightness,train,600
aug_train_28,set_39,Brightness,train,600
aug_train_29,set_40,RGBShift,train,600
aug_train_32,set_45,Equalize,train,600
aug_train_30,set_42,RGBShift,train,600
aug_train_31,set_43,Translate,train,600
aug_train_41,set_58,ProcessCroppedImage,train,600
aug_train_33,set_46,CLAHEVarying,train,600
aug_train_44,set_55,Sharpen,train,600
aug_train_45,set_42,Sharpen,train,600
aug_train_36,set_49,CLAHEVarying,train,600
aug_train_34,set_47,ElasticTransform,train,600
aug_train_35,set_48,RandomShadow,train,600
aug_train_37,set_52,Equalize,train,600
aug_train_38,set_54,Perspective,train,600
aug_train_39,set_55,RGBShift,train,600
aug_train_40,set_56,HorizontalFlip,train,600
aug_train_42,set_59,Rotate,train,600
aug_train_43,set_35,ElasticTransform,train,600
aug_train_46,set_39,Translate,train,600
aug_validation_08,set_53,Sharpen,validation,600
aug_train_47,set_19,Contrast,train,600
aug_train_48,set_58,GridDistortion,train,600
aug_validation_03,set_15,Rotate,validation,600
aug_validation_04,set_27,CLAHEVarying,validation,600
aug_validation_02,set_11,Translate,validation,600
aug_validation_05,set_36,GridDistortion,validation,600
aug_validation_01,set_09,ElasticTransform,validation,600
aug_validation_06,set_44,RandomShadow,validation,600
aug_validation_07,set_50,Scale,validation,600
aug_validation_10,set_36,RGBShift,validation,600
aug_validation_09,set_57,Perspective,validation,600
aug_test_02,set_18,CLAHEVarying,test,600
aug_test_01,set_10,Rotate,test,600
aug_validation_11,set_11,GaussNoise,validation,600
aug_test_04,set_26,RGBShift,test,600
aug_test_05,set_30,Translate,test,600
aug_test_03,set_23,ElasticTransform,test,600
aug_test_06,set_34,GaussNoise,test,600
aug_test_07,set_41,Scale,test,600
aug_test_08,set_51,Perspective,test,600
aug_test_09,set_60,GridDistortion,test,600
aug_test_10,set_18,Brightness,test,600
aug_test_11,set_34,RandomShadow,test,600
