aug_set_name,source_set,aug_type,split,frames
aug_train_05,set_05,DropRefill,train,600
aug_train_01,set_01,ProcessCroppedImage,train,600
aug_train_06,set_06,Brightness,train,600
aug_train_03,set_03,HorizontalFlip,train,600
aug_train_07,set_07,Contrast,train,600
aug_train_04,set_04,GaussNoise,train,600
aug_train_10,set_13,Contrast,train,600
aug_train_09,set_12,Contrast,train,600
aug_train_08,set_08,Scale,train,600
aug_train_02,set_02,GaussNoise,train,600
aug_train_16,set_21,Sharpen,train,600
aug_train_15,set_20,Sharpen,train,600
aug_train_11,set_14,Translate,train,600
aug_train_12,set_16,Brightness,train,600
aug_train_13,set_17,Equalize,train,600
aug_train_14,set_19,Rotate,train,600
aug_train_18,set_24,Equalize,train,600
aug_train_26,set_37,FrameMorph,train,600
aug_train_20,set_28,HorizontalFlip,train,600
aug_train_17,set_22,Perspective,train,600
aug_train_19,set_25,Rotate,train,600
aug_train_21,set_29,CoarseDropout,train,600
aug_train_22,set_31,Brightness,train,600
aug_train_27,set_38,SmoothDrift,train,600
aug_train_23,set_32,Perspective,train,600
aug_train_24,set_33,HorizontalFlip,train,600
aug_train_29,set_40,ProcessCroppedImage,train,600
aug_train_36,set_49,FrameMorph,train,600
aug_train_37,set_52,FrameMorph,train,600
aug_train_25,set_35,Translate,train,600
aug_train_39,set_55,DropRefill,train,600
aug_train_30,set_42,GaussNoise,train,600
aug_train_28,set_39,Scale,train,600
aug_train_40,set_56,ProcessCroppedImage,train,600
aug_train_31,set_43,Rotate,train,600
aug_train_44,set_31,DropRefill,train,600
aug_train_33,set_46,RGBShift,train,600
aug_train_46,set_01,SmoothDrift,train,600
aug_train_32,set_45,RGBShift,train,600
aug_train_34,set_47,RGBShift,train,600
aug_train_35,set_48,Translate,train,600
aug_train_42,set_59,Sharpen,train,600
aug_train_48,set_29,SmoothDrift,train,600
aug_train_38,set_54,Scale,train,600
aug_validation_01,set_09,DropRefill,validation,600
aug_train_43,set_07,Perspective,train,600
aug_validation_05,set_36,SmoothDrift,validation,600
aug_train_47,set_28,CoarseDropout,train,600
aug_train_41,set_58,CoarseDropout,train,600
aug_train_45,set_37,Equalize,train,600
aug_validation_10,set_57,FrameMorph,validation,600
aug_validation_03,set_15,Perspective,validation,600
aug_validation_02,set_11,Translate,validation,600
aug_validation_09,set_57,Scale,validation,600
aug_validation_04,set_27,CoarseDropout,validation,600
aug_validation_06,set_44,Rotate,validation,600
aug_test_03,set_23,FrameMorph,test,600
aug_test_05,set_30,SmoothDrift,test,600
aug_validation_11,set_15,GaussNoise,validation,600
aug_validation_08,set_53,HorizontalFlip,validation,600
aug_test_08,set_51,DropRefill,test,600
aug_validation_07,set_50,RGBShift,validation,600
aug_test_01,set_10,Perspective,test,600
aug_test_02,set_18,Translate,test,600
aug_test_06,set_34,RGBShift,test,600
aug_test_04,set_26,Contrast,test,600
aug_test_10,set_30,Rotate,test,600
aug_test_07,set_41,GaussNoise,test,600
aug_test_11,set_10,CoarseDropout,test,600
aug_test_09,set_60,Scale,test,600
