aug_set_name,source_set,aug_type,split,frames
aug_train_03,set_49,TemporalShift,train,600
aug_train_06,set_03,Sharpen,train,600
aug_train_07,set_05,ProcessCroppedImage,train,600
aug_train_09,set_19,ProcessCroppedImage,train,600
aug_train_05,set_58,ProcessCroppedImage,train,600
aug_train_08,set_45,Contrast,train,600
aug_train_02,set_56,OpticalDistortion,train,600
aug_train_10,set_46,GaussNoise,train,600
aug_train_12,set_24,Equalize,train,600
aug_train_11,set_39,Rotate,train,600
aug_train_01,set_59,Scale,train,600
aug_train_15,set_43,Perspective,train,600
aug_train_21,set_24,Sharpen,train,600
aug_train_04,set_03,GaussianBlur,train,600
aug_train_14,set_29,Brightness,train,600
aug_train_20,set_28,ProcessCroppedImage,train,600
aug_train_13,set_29,RGBShift,train,600
aug_train_16,set_33,HorizontalFlip,train,600
aug_train_17,set_33,Contrast,train,600
aug_train_18,set_08,Equalize,train,600
aug_train_19,set_05,OpticalDistortion,train,600
aug_train_22,set_12,Contrast,train,600
aug_train_24,set_17,GaussianBlur,train,600
aug_train_23,set_49,OpticalDistortion,train,600
aug_train_26,set_52,Equalize,train,600
aug_train_27,set_19,RGBShift,train,600
aug_train_25,set_45,Translate,train,600
aug_train_29,set_38,Brightness,train,600
aug_train_28,set_43,Contrast,train,600
aug_train_30,set_32,HorizontalFlip,train,600
aug_train_31,set_06,OpticalDistortion,train,600
aug_train_32,set_37,HorizontalFlip,train,600
aug_train_33,set_22,Brightness,train,600
aug_train_34,set_01,HorizontalFlip,train,600
aug_train_36,set_31,OpticalDistortion,train,600
aug_train_42,set_48,Downsample,train,600
aug_train_35,set_54,GaussNoise,train,600
aug_train_37,set_35,Perspective,train,600
aug_train_44,set_45,Downsample,train,600
aug_train_46,set_59,ProcessCroppedImage,train,600
aug_train_38,set_02,GaussianBlur,train,600
aug_train_39,set_13,RGBShift,train,600
aug_train_51,set_12,ProcessCroppedImage,train,600
aug_train_41,set_14,GaussNoise,train,600
aug_train_40,set_54,Perspective,train,600
aug_train_43,set_32,Equalize,train,600
aug_train_45,set_14,Perspective,train,600
aug_train_48,set_58,Scale,train,600
aug_train_49,set_20,Perspective,train,600
aug_train_47,set_42,Equalize,train,600
aug_train_60,set_40,Sharpen,train,600
aug_train_50,set_58,RGBShift,train,600
aug_train_52,set_55,Rotate,train,600
aug_train_53,set_17,HorizontalFlip,train,600
