aug_set_name,source_set,aug_type,split,frames
aug_train_06,set_06,Downsample,train,600
aug_train_08,set_08,Sharpen,train,600
aug_train_11,set_14,TemporalShift,train,600
aug_train_03,set_03,HorizontalFlip,train,600
aug_train_10,set_13,Equalize,train,600
aug_train_12,set_16,ProcessCroppedImage,train,600
aug_train_07,set_07,Perspective,train,600
aug_train_09,set_12,HorizontalFlip,train,600
aug_train_01,set_01,HorizontalFlip,train,600
aug_train_14,set_19,TemporalShift,train,600
aug_train_13,set_17,ProcessCroppedImage,train,600
aug_train_05,set_05,OpticalDistortion,train,600
aug_train_02,set_02,Scale,train,600
aug_train_04,set_04,Perspective,train,600
aug_train_19,set_25,Brightness,train,600
aug_train_17,set_22,Translate,train,600
aug_train_16,set_21,OpticalDistortion,train,600
aug_train_18,set_24,Brightness,train,600
aug_train_20,set_28,HorizontalFlip,train,600
aug_train_21,set_29,Scale,train,600
aug_train_22,set_31,GaussianBlur,train,600
aug_train_15,set_20,Brightness,train,600
aug_train_24,set_33,Perspective,train,600
aug_train_33,set_46,TemporalShift,train,600
aug_train_23,set_32,Contrast,train,600
aug_train_26,set_37,ProcessCroppedImage,train,600
aug_train_34,set_47,ProcessCroppedImage,train,600
aug_train_36,set_49,Sharpen,train,600
aug_train_37,set_52,Downsample,train,600
aug_train_27,set_38,OpticalDistortion,train,600
aug_train_25,set_35,GaussNoise,train,600
aug_train_39,set_55,Sharpen,train,600
aug_train_31,set_43,RGBShift,train,600
aug_train_28,set_39,Contrast,train,600
aug_train_41,set_58,TemporalShift,train,600
aug_train_30,set_42,RGBShift,train,600
aug_train_29,set_40,Perspective,train,600
aug_train_35,set_48,GaussianBlur,train,600
aug_train_32,set_45,GaussNoise,train,600
aug_train_42,set_59,OpticalDistortion,train,600
aug_train_40,set_56,Rotate,train,600
aug_train_38,set_54,Translate,train,600
aug_train_44,set_02,Contrast,train,600
aug_train_47,set_05,Equalize,train,600
aug_train_43,set_01,Contrast,train,600
aug_train_45,set_03,Translate,train,600
aug_train_46,set_04,RGBShift,train,600
aug_train_55,set_17,Downsample,train,600
aug_train_51,set_12,Rotate,train,600
aug_train_53,set_14,HorizontalFlip,train,600
aug_train_50,set_08,GaussianBlur,train,600
aug_train_49,set_07,RGBShift,train,600
aug_train_48,set_06,GaussianBlur,train,600
aug_train_54,set_16,OpticalDistortion,train,600
aug_train_64,set_31,Downsample,train,600
aug_train_56,set_19,Perspective,train,600
aug_train_57,set_20,Scale,train,600
aug_train_58,set_21,Translate,train,600
aug_train_62,set_28,ProcessCroppedImage,train,600
aug_train_52,set_13,GaussNoise,train,600
aug_train_61,set_25,HorizontalFlip,train,600
aug_train_59,set_22,Rotate,train,600
aug_train_60,set_24,Scale,train,600
aug_train_71,set_40,TemporalShift,train,600
aug_train_65,set_32,Scale,train,600
aug_train_67,set_35,Rotate,train,600
aug_train_63,set_29,OpticalDistortion,train,600
aug_train_68,set_37,Brightness,train,600
aug_train_75,set_46,Sharpen,train,600
aug_train_76,set_47,Downsample,train,600
aug_train_66,set_33,Contrast,train,600
aug_train_69,set_38,GaussNoise,train,600
aug_train_70,set_39,RGBShift,train,600
aug_train_83,set_58,Downsample,train,600
aug_train_72,set_42,GaussianBlur,train,600
aug_train_73,set_43,Contrast,train,600
aug_train_84,set_59,Sharpen,train,600
aug_train_74,set_45,Equalize,train,600
aug_train_85,set_07,ProcessCroppedImage,train,600
aug_train_89,set_03,TemporalShift,train,600
aug_train_78,set_49,Equalize,train,600
aug_train_77,set_48,Brightness,train,600
aug_train_80,set_54,Perspective,train,600
aug_train_81,set_55,Equalize,train,600
aug_train_79,set_52,RGBShift,train,600
aug_train_82,set_56,GaussNoise,train,600
aug_train_94,set_58,Sharpen,train,600
aug_train_86,set_04,Translate,train,600
aug_train_88,set_17,Rotate,train,600
aug_train_90,set_22,Brightness,train,600
aug_train_91,set_59,Scale,train,600
aug_train_93,set_01,Translate,train,600
aug_train_87,set_42,GaussNoise,train,600
aug_train_92,set_20,GaussianBlur,train,600
aug_train_95,set_33,Rotate,train,600
aug_validation_05,set_36,ProcessCroppedImage,validation,600
aug_validation_10,set_50,Downsample,validation,600
aug_validation_02,set_11,OpticalDistortion,validation,600
aug_train_96,set_29,Equalize,train,600
aug_validation_03,set_15,Brightness,validation,600
aug_validation_04,set_27,Translate,validation,600
aug_validation_06,set_44,Perspective,validation,600
aug_validation_08,set_53,Rotate,validation,600
aug_validation_11,set_09,GaussNoise,validation,600
aug_validation_01,set_09,GaussianBlur,validation,600
aug_validation_09,set_57,Scale,validation,600
aug_validation_07,set_50,RGBShift,validation,600
aug_test_01,set_10,RGBShift,test,600
aug_test_10,set_18,Downsample,test,600
aug_test_03,set_23,Equalize,test,600
aug_test_02,set_18,Rotate,test,600
aug_test_04,set_26,Scale,test,600
aug_test_05,set_30,Translate,test,600
aug_test_06,set_34,HorizontalFlip,test,600
aug_test_08,set_51,Perspective,test,600
aug_test_07,set_41,GaussNoise,test,600
aug_test_09,set_60,GaussianBlur,test,600
aug_test_11,set_34,OpticalDistortion,test,600
