split,aug_index,aug_set_name,source_set,source_name,source_angle,aug_type
train,1,aug_train_01,1,set_01,unknown,OpticalDistortion
train,2,aug_train_02,2,set_02,unknown,RGBShift
train,3,aug_train_03,3,set_03,normal,RGBShift
train,4,aug_train_04,4,set_04,up,Perspective
train,5,aug_train_05,5,set_05,left,Equalize
train,6,aug_train_06,6,set_06,right,Rotate
train,7,aug_train_07,7,set_07,normal,HorizontalFlip
train,8,aug_train_08,8,set_08,up,OpticalDistortion
train,9,aug_train_09,12,set_12,normal,Contrast
train,10,aug_train_10,13,set_13,up,Rotate
train,11,aug_train_11,14,set_14,left,RGBShift
train,12,aug_train_12,16,set_16,unknown,Scale
train,13,aug_train_13,17,set_17,normal,Downsample
train,14,aug_train_14,19,set_19,left,HorizontalFlip
train,15,aug_train_15,20,set_20,right,Sharpen
train,16,aug_train_16,21,set_21,normal,ProcessCroppedImage
train,17,aug_train_17,22,set_22,up,Contrast
train,18,aug_train_18,24,set_24,right,Perspective
train,19,aug_train_19,25,set_25,down,Brightness
train,20,aug_train_20,28,set_28,left,Equalize
train,21,aug_train_21,29,set_29,right,Rotate
train,22,aug_train_22,31,set_31,normal,Scale
train,23,aug_train_23,32,set_32,up,GaussianBlur
train,24,aug_train_24,33,set_33,left,GaussNoise
train,25,aug_train_25,35,set_35,down,Scale
train,26,aug_train_26,37,set_37,up,Brightness
train,27,aug_train_27,38,set_38,left,Equalize
train,28,aug_train_28,39,set_39,right,ProcessCroppedImage
train,29,aug_train_29,40,set_40,down,HorizontalFlip
train,30,aug_train_30,42,set_42,up,Downsample
train,31,aug_train_31,43,set_43,left,OpticalDistortion
train,32,aug_train_32,45,set_45,down,Contrast
train,33,aug_train_33,46,set_46,normal,HorizontalFlip
train,34,aug_train_34,47,set_47,up,Brightness
train,35,aug_train_35,48,set_48,left,Scale
train,36,aug_train_36,49,set_49,right,Rotate
train,37,aug_train_37,52,set_52,up,GaussNoise
train,38,aug_train_38,54,set_54,right,GaussianBlur
train,39,aug_train_39,55,set_55,down,GaussianBlur
train,40,aug_train_40,56,set_56,normal,Sharpen
train,41,aug_train_41,58,set_58,left,Rotate
train,42,aug_train_42,59,set_59,right,Rotate
train,43,aug_train_43,1,set_01,unknown,Downsample
train,44,aug_train_44,2,set_02,unknown,GaussianBlur
train,45,aug_train_45,3,set_03,normal,Contrast
train,46,aug_train_46,4,set_04,up,Translate
train,47,aug_train_47,5,set_05,left,GaussianBlur
train,48,aug_train_48,6,set_06,right,Perspective
train,49,aug_train_49,7,set_07,normal,Sharpen
train,50,aug_train_50,8,set_08,up,HorizontalFlip
train,51,aug_train_51,12,set_12,normal,ProcessCroppedImage
train,52,aug_train_52,13,set_13,up,Perspective
train,53,aug_train_53,14,set_14,left,Brightness
train,54,aug_train_54,16,set_16,unknown,GaussNoise
train,55,aug_train_55,17,set_17,normal,GaussianBlur
train,56,aug_train_56,19,set_19,left,TemporalShift
train,57,aug_train_57,20,set_20,right,HorizontalFlip
train,58,aug_train_58,21,set_21,normal,RGBShift
train,59,aug_train_59,22,set_22,up,TemporalShift
train,60,aug_train_60,24,set_24,right,OpticalDistortion
train,61,aug_train_61,25,set_25,down,GaussNoise
train,62,aug_train_62,28,set_28,left,Translate
train,63,aug_train_63,29,set_29,right,Downsample
train,64,aug_train_64,31,set_31,normal,TemporalShift
train,65,aug_train_65,32,set_32,up,Contrast
train,66,aug_train_66,33,set_33,left,ProcessCroppedImage
train,67,aug_train_67,35,set_35,down,Sharpen
train,68,aug_train_68,37,set_37,up,Translate
train,69,aug_train_69,38,set_38,left,TemporalShift
train,70,aug_train_70,39,set_39,right,Translate
train,71,aug_train_71,40,set_40,down,Sharpen
train,72,aug_train_72,42,set_42,up,Perspective
train,73,aug_train_73,43,set_43,left,Equalize
train,74,aug_train_74,45,set_45,down,ProcessCroppedImage
train,75,aug_train_75,46,set_46,normal,OpticalDistortion
train,76,aug_train_76,47,set_47,up,GaussNoise
train,77,aug_train_77,48,set_48,left,Translate
train,78,aug_train_78,49,set_49,right,Perspective
train,79,aug_train_79,52,set_52,up,RGBShift
train,80,aug_train_80,54,set_54,right,Downsample
train,81,aug_train_81,55,set_55,down,TemporalShift
train,82,aug_train_82,56,set_56,normal,Equalize
train,83,aug_train_83,58,set_58,left,TemporalShift
train,84,aug_train_84,59,set_59,right,Translate
train,85,aug_train_85,35,set_35,down,ProcessCroppedImage
train,86,aug_train_86,7,set_07,normal,Contrast
train,87,aug_train_87,47,set_47,up,Scale
train,88,aug_train_88,17,set_17,normal,Brightness
train,89,aug_train_89,12,set_12,normal,GaussNoise
train,90,aug_train_90,37,set_37,up,Downsample
train,91,aug_train_91,48,set_48,left,Sharpen
train,92,aug_train_92,29,set_29,right,OpticalDistortion
train,93,aug_train_93,6,set_06,right,Scale
train,94,aug_train_94,16,set_16,unknown,Equalize
train,95,aug_train_95,58,set_58,left,RGBShift
train,96,aug_train_96,19,set_19,left,Brightness
validation,1,aug_validation_01,9,set_09,left,Translate
validation,2,aug_validation_02,11,set_11,unknown,GaussianBlur
validation,3,aug_validation_03,15,set_15,right,Sharpen
validation,4,aug_validation_04,27,set_27,up,ProcessCroppedImage
validation,5,aug_validation_05,36,set_36,normal,Downsample
