split,aug_index,aug_set_name,source_set,source_name,source_angle,aug_type
train,1,aug_train_01,1,set_01,unknown,Sharpen
train,2,aug_train_02,2,set_02,unknown,Perspective
train,3,aug_train_03,3,set_03,normal,Equalize
train,4,aug_train_04,4,set_04,up,Contrast
train,5,aug_train_05,5,set_05,left,GaussNoise
train,6,aug_train_06,6,set_06,right,Brightness
train,7,aug_train_07,7,set_07,normal,Perspective
train,8,aug_train_08,8,set_08,up,RandomShadow
train,9,aug_train_09,12,set_12,normal,GaussNoise
train,10,aug_train_10,13,set_13,up,Equalize
train,11,aug_train_11,14,set_14,left,ElasticTransform
train,12,aug_train_12,16,set_16,unknown,HorizontalFlip
train,13,aug_train_13,17,set_17,normal,Perspective
train,14,aug_train_14,19,set_19,left,HorizontalFlip
train,15,aug_train_15,20,set_20,right,Contrast
train,16,aug_train_16,21,set_21,normal,ProcessCroppedImage
train,17,aug_train_17,22,set_22,up,ProcessCroppedImage
train,18,aug_train_18,24,set_24,right,GridDistortion
train,19,aug_train_19,25,set_25,down,Brightness
train,20,aug_train_20,28,set_28,left,GaussNoise
train,21,aug_train_21,29,set_29,right,GridDistortion
train,22,aug_train_22,31,set_31,normal,ElasticTransform
train,23,aug_train_23,32,set_32,up,HorizontalFlip
train,24,aug_train_24,33,set_33,left,ProcessCroppedImage
train,25,aug_train_25,35,set_35,down,HorizontalFlip
train,26,aug_train_26,37,set_37,up,ElasticTransform
train,27,aug_train_27,38,set_38,left,Scale
train,28,aug_train_28,39,set_39,right,Contrast
train,29,aug_train_29,40,set_40,down,Scale
train,30,aug_train_30,42,set_42,up,Sharpen
train,31,aug_train_31,43,set_43,left,RGBShift
train,32,aug_train_32,45,set_45,down,RGBShift
train,33,aug_train_33,46,set_46,normal,GridDistortion
train,34,aug_train_34,47,set_47,up,CLAHEVarying
train,35,aug_train_35,48,set_48,left,RandomShadow
train,36,aug_train_36,49,set_49,right,ElasticTransform
train,37,aug_train_37,52,set_52,up,Brightness
train,38,aug_train_38,54,set_54,right,ProcessCroppedImage
train,39,aug_train_39,55,set_55,down,RandomShadow
train,40,aug_train_40,56,set_56,normal,Translate
train,41,aug_train_41,58,set_58,left,Rotate
train,42,aug_train_42,59,set_59,right,Sharpen
train,43,aug_train_43,1,set_01,unknown,Brightness
train,44,aug_train_44,2,set_02,unknown,GaussNoise
train,45,aug_train_45,3,set_03,normal,CLAHEVarying
train,46,aug_train_46,4,set_04,up,Translate
train,47,aug_train_47,5,set_05,left,Rotate
train,48,aug_train_48,6,set_06,right,Scale
train,49,aug_train_49,7,set_07,normal,Rotate
train,50,aug_train_50,8,set_08,up,Perspective
train,51,aug_train_51,12,set_12,normal,HorizontalFlip
train,52,aug_train_52,13,set_13,up,Scale
train,53,aug_train_53,14,set_14,left,HorizontalFlip
train,54,aug_train_54,16,set_16,unknown,Perspective
train,55,aug_train_55,17,set_17,normal,Translate
train,56,aug_train_56,19,set_19,left,Equalize
train,57,aug_train_57,20,set_20,right,RandomShadow
train,58,aug_train_58,21,set_21,normal,Scale
train,59,aug_train_59,22,set_22,up,GridDistortion
train,60,aug_train_60,24,set_24,right,Equalize
train,61,aug_train_61,25,set_25,down,RandomShadow
train,62,aug_train_62,28,set_28,left,Rotate
train,63,aug_train_63,29,set_29,right,Sharpen
train,64,aug_train_64,31,set_31,normal,GridDistortion
train,65,aug_train_65,32,set_32,up,GaussNoise
train,66,aug_train_66,33,set_33,left,Translate
train,67,aug_train_67,35,set_35,down,RGBShift
train,68,aug_train_68,37,set_37,up,CLAHEVarying
train,69,aug_train_69,38,set_38,left,RandomShadow
train,70,aug_train_70,39,set_39,right,Equalize
train,71,aug_train_71,40,set_40,down,ProcessCroppedImage
train,72,aug_train_72,42,set_42,up,CLAHEVarying
train,73,aug_train_73,43,set_43,left,Translate
train,74,aug_train_74,45,set_45,down,Sharpen
train,75,aug_train_75,46,set_46,normal,CLAHEVarying
train,76,aug_train_76,47,set_47,up,ProcessCroppedImage
train,77,aug_train_77,48,set_48,left,Contrast
train,78,aug_train_78,49,set_49,right,Brightness
train,79,aug_train_79,52,set_52,up,RGBShift
train,80,aug_train_80,54,set_54,right,Brightness
train,81,aug_train_81,55,set_55,down,Translate
train,82,aug_train_82,56,set_56,normal,RGBShift
train,83,aug_train_83,58,set_58,left,Equalize
train,84,aug_train_84,59,set_59,right,Scale
train,85,aug_train_85,3,set_03,normal,Rotate
train,86,aug_train_86,7,set_07,normal,GaussNoise
train,87,aug_train_87,25,set_25,down,Rotate
train,88,aug_train_88,21,set_21,normal,Perspective
train,89,aug_train_89,12,set_12,normal,Contrast
train,90,aug_train_90,47,set_47,up,ElasticTransform
train,91,aug_train_91,20,set_20,right,GridDistortion
train,92,aug_train_92,16,set_16,unknown,CLAHEVarying
train,93,aug_train_93,29,set_29,right,Contrast
train,94,aug_train_94,24,set_24,right,ElasticTransform
train,95,aug_train_95,14,set_14,left,Sharpen
train,96,aug_train_96,54,set_54,right,RGBShift
validation,1,aug_validation_01,9,set_09,left,CLAHEVarying
