split,aug_index,aug_set_name,source_set,source_name,source_angle,aug_type
train,1,aug_train_01,1,set_01,unknown,Brightness
train,2,aug_train_02,2,set_02,unknown,Translate
train,3,aug_train_03,3,set_03,normal,DropRefill
train,4,aug_train_04,4,set_04,up,Sharpen
train,5,aug_train_05,5,set_05,left,DropRefill
train,6,aug_train_06,6,set_06,right,FrameMorph
train,7,aug_train_07,7,set_07,normal,FrameMorph
train,8,aug_train_08,8,set_08,up,GaussNoise
train,9,aug_train_09,12,set_12,normal,Rotate
train,10,aug_train_10,13,set_13,up,HorizontalFlip
train,11,aug_train_11,14,set_14,left,Perspective
train,12,aug_train_12,16,set_16,unknown,ProcessCroppedImage
train,13,aug_train_13,17,set_17,normal,FrameMorph
train,14,aug_train_14,19,set_19,left,Brightness
train,15,aug_train_15,20,set_20,right,Rotate
train,16,aug_train_16,21,set_21,normal,Perspective
train,17,aug_train_17,22,set_22,up,SmoothDrift
train,18,aug_train_18,24,set_24,right,DropRefill
train,19,aug_train_19,25,set_25,down,Contrast
train,20,aug_train_20,28,set_28,left,Equalize
train,21,aug_train_21,29,set_29,right,Scale
train,22,aug_train_22,31,set_31,normal,SmoothDrift
train,23,aug_train_23,32,set_32,up,ProcessCroppedImage
train,24,aug_train_24,33,set_33,left,HorizontalFlip
train,25,aug_train_25,35,set_35,down,RGBShift
train,26,aug_train_26,37,set_37,up,HorizontalFlip
train,27,aug_train_27,38,set_38,left,Brightness
train,28,aug_train_28,39,set_39,right,ProcessCroppedImage
train,29,aug_train_29,40,set_40,down,Translate
train,30,aug_train_30,42,set_42,up,Scale
train,31,aug_train_31,43,set_43,left,ProcessCroppedImage
train,32,aug_train_32,45,set_45,down,FrameMorph
train,33,aug_train_33,46,set_46,normal,Perspective
train,34,aug_train_34,47,set_47,up,Brightness
train,35,aug_train_35,48,set_48,left,CoarseDropout
train,36,aug_train_36,49,set_49,right,CoarseDropout
train,37,aug_train_37,52,set_52,up,GaussNoise
train,38,aug_train_38,54,set_54,right,Equalize
train,39,aug_train_39,55,set_55,down,Sharpen
train,40,aug_train_40,56,set_56,normal,GaussNoise
train,41,aug_train_41,58,set_58,left,Sharpen
train,42,aug_train_42,59,set_59,right,DropRefill
train,43,aug_train_43,1,set_01,unknown,SmoothDrift
train,44,aug_train_44,2,set_02,unknown,RGBShift
train,45,aug_train_45,3,set_03,normal,Contrast
train,46,aug_train_46,4,set_04,up,Brightness
train,47,aug_train_47,5,set_05,left,FrameMorph
train,48,aug_train_48,6,set_06,right,CoarseDropout
train,49,aug_train_49,7,set_07,normal,CoarseDropout
train,50,aug_train_50,8,set_08,up,Contrast
train,51,aug_train_51,12,set_12,normal,Scale
train,52,aug_train_52,13,set_13,up,Translate
train,53,aug_train_53,14,set_14,left,DropRefill
train,54,aug_train_54,16,set_16,unknown,Equalize
train,55,aug_train_55,17,set_17,normal,HorizontalFlip
train,56,aug_train_56,19,set_19,left,FrameMorph
train,57,aug_train_57,20,set_20,right,DropRefill
train,58,aug_train_58,21,set_21,normal,Equalize
train,59,aug_train_59,22,set_22,up,Translate
train,60,aug_train_60,24,set_24,right,Scale
train,61,aug_train_61,25,set_25,down,RGBShift
train,62,aug_train_62,28,set_28,left,SmoothDrift
train,63,aug_train_63,29,set_29,right,CoarseDropout
train,64,aug_train_64,31,set_31,normal,GaussNoise
train,65,aug_train_65,32,set_32,up,Contrast
train,66,aug_train_66,33,set_33,left,CoarseDropout
train,67,aug_train_67,35,set_35,down,Contrast
train,68,aug_train_68,37,set_37,up,Scale
train,69,aug_train_69,38,set_38,left,Sharpen
train,70,aug_train_70,39,set_39,right,Equalize
train,71,aug_train_71,40,set_40,down,ProcessCroppedImage
train,72,aug_train_72,42,set_42,up,Translate
train,73,aug_train_73,43,set_43,left,Rotate
train,74,aug_train_74,45,set_45,down,Perspective
train,75,aug_train_75,46,set_46,normal,SmoothDrift
train,76,aug_train_76,47,set_47,up,Scale
train,77,aug_train_77,48,set_48,left,HorizontalFlip
train,78,aug_train_78,49,set_49,right,Contrast
train,79,aug_train_79,52,set_52,up,Sharpen
train,80,aug_train_80,54,set_54,right,GaussNoise
train,81,aug_train_81,55,set_55,down,Translate
train,82,aug_train_82,56,set_56,normal,Brightness
train,83,aug_train_83,58,set_58,left,Equalize
train,84,aug_train_84,59,set_59,right,Perspective
train,85,aug_train_85,37,set_37,up,Rotate
train,86,aug_train_86,42,set_42,up,Sharpen
train,87,aug_train_87,8,set_08,up,RGBShift
train,88,aug_train_88,46,set_46,normal,ProcessCroppedImage
train,89,aug_train_89,55,set_55,down,RGBShift
train,90,aug_train_90,40,set_40,down,RGBShift
train,91,aug_train_91,20,set_20,right,GaussNoise
train,92,aug_train_92,49,set_49,right,SmoothDrift
train,93,aug_train_93,16,set_16,unknown,Rotate
train,94,aug_train_94,6,set_06,right,HorizontalFlip
train,95,aug_train_95,19,set_19,left,Rotate
train,96,aug_train_96,33,set_33,left,Perspective
validation,1,aug_validation_01,9,set_09,left,Perspective
validation,2,aug_validation_02,11,set_11,unknown,Scale
validation,3,aug_validation_03,15,set_15,right,ProcessCroppedImage
validation,4,aug_validation_04,27,set_27,up,RGBShift
validation,5,aug_validation_05,36,set_36,normal,HorizontalFlip
validation,6,aug_validation_06,44,set_44,right,Rotate
validation,7,aug_validation_07,50,set_50,down,Sharpen
validation,8,aug_validation_08,53,set_53,left,CoarseDropout
validation,9,aug_validation_09,57,set_57,up,Brightness
validation,10,aug_validation_10,36,set_36,normal,GaussNoise
validation,11,aug_validation_11,50,set_50,down,SmoothDrift
validation,12,aug_validation_12,27,set_27,up,DropRefill
validation,13,aug_validation_13,11,set_11,unknown,Equalize
validation,14,aug_validation_14,44,set_44,right,FrameMorph
validation,15,aug_validation_15,9,set_09,left,Contrast
validation,16,aug_validation_16,15,set_15,right,Translate
test,1,aug_test_01,10,set_10,right,Translate
test,2,aug_test_02,18,set_18,up,FrameMorph
test,3,aug_test_03,23,set_23,left,Sharpen
test,4,aug_test_04,26,set_26,normal,Brightness
test,5,aug_test_05,30,set_30,down,Perspective
test,6,aug_test_06,34,set_34,right,Rotate
test,7,aug_test_07,41,set_41,normal,HorizontalFlip
test,8,aug_test_08,51,set_51,normal,Equalize
test,9,aug_test_09,60,set_60,down,GaussNoise
test,10,aug_test_10,18,set_18,up,RGBShift
test,11,aug_test_11,26,set_26,normal,CoarseDropout
test,12,aug_test_12,60,set_60,down,Scale
test,13,aug_test_13,51,set_51,normal,ProcessCroppedImage
test,14,aug_test_14,34,set_34,right,DropRefill
test,15,aug_test_15,23,set_23,left,Contrast
test,16,aug_test_16,10,set_10,right,SmoothDrift
