split,aug_index,aug_set_name,source_set,source_name,source_angle,aug_type
train,1,aug_train_01,1,set_01,unknown,Equalize
train,2,aug_train_02,2,set_02,unknown,HorizontalFlip
train,3,aug_train_03,3,set_03,normal,HorizontalFlip
train,4,aug_train_04,4,set_04,up,Rotate
train,5,aug_train_05,5,set_05,left,Scale
train,6,aug_train_06,6,set_06,right,Downsample
train,7,aug_train_07,7,set_07,normal,TemporalShift
train,8,aug_train_08,8,set_08,up,Rotate
train,9,aug_train_09,12,set_12,normal,OpticalDistortion
train,10,aug_train_10,13,set_13,up,Sharpen
train,11,aug_train_11,14,set_14,left,GaussianBlur
train,12,aug_train_12,16,set_16,unknown,RandomGamma
train,13,aug_train_13,17,set_17,normal,Sharpen
train,14,aug_train_14,19,set_19,left,TemporalShift
train,15,aug_train_15,20,set_20,right,Brightness
train,16,aug_train_16,21,set_21,normal,Brightness
train,17,aug_train_17,22,set_22,up,Translate
train,18,aug_train_18,24,set_24,right,Perspective
train,19,aug_train_19,25,set_25,down,GaussianBlur
train,20,aug_train_20,28,set_28,left,ProcessCroppedImage
train,21,aug_train_21,29,set_29,right,Equalize
train,22,aug_train_22,31,set_31,normal,Rotate
train,23,aug_train_23,32,set_32,up,Contrast
train,24,aug_train_24,33,set_33,left,Equalize
train,25,aug_train_25,35,set_35,down,Downsample
train,26,aug_train_26,37,set_37,up,OpticalDistortion
train,27,aug_train_27,38,set_38,left,Scale
train,28,aug_train_28,39,set_39,right,Downsample
train,29,aug_train_29,40,set_40,down,HorizontalFlip
train,30,aug_train_30,42,set_42,up,RandomGamma
train,31,aug_train_31,43,set_43,left,Scale
train,32,aug_train_32,45,set_45,down,Perspective
train,33,aug_train_33,46,set_46,normal,ProcessCroppedImage
train,34,aug_train_34,47,set_47,up,Translate
train,35,aug_train_35,48,set_48,left,GaussianBlur
train,36,aug_train_36,49,set_49,right,GaussNoise
train,37,aug_train_37,52,set_52,up,RandomGamma
train,38,aug_train_38,54,set_54,right,Translate
train,39,aug_train_39,55,set_55,down,Brightness
train,40,aug_train_40,56,set_56,normal,Perspective
train,41,aug_train_41,58,set_58,left,TemporalShift
train,42,aug_train_42,59,set_59,right,Contrast
train,43,aug_train_43,47,set_47,up,OpticalDistortion
train,44,aug_train_44,17,set_17,normal,GaussNoise
train,45,aug_train_45,46,set_46,normal,Sharpen
train,46,aug_train_46,33,set_33,left,GaussNoise
train,47,aug_train_47,43,set_43,left,Contrast
train,48,aug_train_48,2,set_02,unknown,ProcessCroppedImage
validation,1,aug_validation_01,9,set_09,left,Sharpen
validation,2,aug_validation_02,11,set_11,unknown,Contrast
validation,3,aug_validation_03,15,set_15,right,OpticalDistortion
validation,4,aug_validation_04,27,set_27,up,Perspective
validation,5,aug_validation_05,36,set_36,normal,Translate
validation,6,aug_validation_06,44,set_44,right,GaussianBlur
validation,7,aug_validation_07,50,set_50,down,HorizontalFlip
validation,8,aug_validation_08,53,set_53,left,Scale
validation,9,aug_validation_09,57,set_57,up,GaussNoise
validation,10,aug_validation_10,27,set_27,up,Rotate
validation,11,aug_validation_11,15,set_15,right,RandomGamma
test,1,aug_test_01,10,set_10,right,RandomGamma
test,2,aug_test_02,18,set_18,up,Equalize
test,3,aug_test_03,23,set_23,left,GaussianBlur
test,4,aug_test_04,26,set_26,normal,Rotate
test,5,aug_test_05,30,set_30,down,Downsample
test,6,aug_test_06,34,set_34,right,Translate
test,7,aug_test_07,41,set_41,normal,OpticalDistortion
test,8,aug_test_08,51,set_51,normal,GaussNoise
test,9,aug_test_09,60,set_60,down,Contrast
test,10,aug_test_10,60,set_60,down,Scale
test,11,aug_test_11,34,set_34,right,Perspective
