split,aug_index,aug_set_name,source_set,source_name,source_angle,aug_type
train,1,aug_train_01,1,set_01,unknown,ProcessCroppedImage
train,2,aug_train_02,2,set_02,unknown,GaussNoise
train,3,aug_train_03,3,set_03,normal,HorizontalFlip
train,4,aug_train_04,4,set_04,up,GaussNoise
train,5,aug_train_05,5,set_05,left,DropRefill
train,6,aug_train_06,6,set_06,right,Brightness
train,7,aug_train_07,7,set_07,normal,Contrast
train,8,aug_train_08,8,set_08,up,Scale
train,9,aug_train_09,12,set_12,normal,Contrast
train,10,aug_train_10,13,set_13,up,Contrast
train,11,aug_train_11,14,set_14,left,Translate
train,12,aug_train_12,16,set_16,unknown,Brightness
train,13,aug_train_13,17,set_17,normal,Equalize
train,14,aug_train_14,19,set_19,left,Rotate
train,15,aug_train_15,20,set_20,right,Sharpen
train,16,aug_train_16,21,set_21,normal,Sharpen
train,17,aug_train_17,22,set_22,up,Perspective
train,18,aug_train_18,24,set_24,right,Equalize
train,19,aug_train_19,25,set_25,down,Rotate
train,20,aug_train_20,28,set_28,left,HorizontalFlip
train,21,aug_train_21,29,set_29,right,CoarseDropout
train,22,aug_train_22,31,set_31,normal,Brightness
train,23,aug_train_23,32,set_32,up,Perspective
train,24,aug_train_24,33,set_33,left,HorizontalFlip
train,25,aug_train_25,35,set_35,down,Translate
train,26,aug_train_26,37,set_37,up,FrameMorph
train,27,aug_train_27,38,set_38,left,SmoothDrift
train,28,aug_train_28,39,set_39,right,Scale
train,29,aug_train_29,40,set_40,down,ProcessCroppedImage
train,30,aug_train_30,42,set_42,up,GaussNoise
train,31,aug_train_31,43,set_43,left,Rotate
train,32,aug_train_32,45,set_45,down,RGBShift
train,33,aug_train_33,46,set_46,normal,RGBShift
train,34,aug_train_34,47,set_47,up,RGBShift
train,35,aug_train_35,48,set_48,left,Translate
train,36,aug_train_36,49,set_49,right,FrameMorph
train,37,aug_train_37,52,set_52,up,FrameMorph
train,38,aug_train_38,54,set_54,right,Scale
train,39,aug_train_39,55,set_55,down,DropRefill
train,40,aug_train_40,56,set_56,normal,ProcessCroppedImage
train,41,aug_train_41,58,set_58,left,CoarseDropout
train,42,aug_train_42,59,set_59,right,Sharpen
train,43,aug_train_43,7,set_07,normal,Perspective
train,44,aug_train_44,31,set_31,normal,DropRefill
train,45,aug_train_45,37,set_37,up,Equalize
train,46,aug_train_46,1,set_01,unknown,SmoothDrift
train,47,aug_train_47,28,set_28,left,CoarseDropout
train,48,aug_train_48,29,set_29,right,SmoothDrift
validation,1,aug_validation_01,9,set_09,left,DropRefill
validation,2,aug_validation_02,11,set_11,unknown,Translate
validation,3,aug_validation_03,15,set_15,right,Perspective
validation,4,aug_validation_04,27,set_27,up,CoarseDropout
validation,5,aug_validation_05,36,set_36,normal,SmoothDrift
validation,6,aug_validation_06,44,set_44,right,Rotate
validation,7,aug_validation_07,50,set_50,down,RGBShift
validation,8,aug_validation_08,53,set_53,left,HorizontalFlip
validation,9,aug_validation_09,57,set_57,up,Scale
validation,10,aug_validation_10,57,set_57,up,FrameMorph
validation,11,aug_validation_11,15,set_15,right,GaussNoise
test,1,aug_test_01,10,set_10,right,Perspective
test,2,aug_test_02,18,set_18,up,Translate
test,3,aug_test_03,23,set_23,left,FrameMorph
test,4,aug_test_04,26,set_26,normal,Contrast
test,5,aug_test_05,30,set_30,down,SmoothDrift
test,6,aug_test_06,34,set_34,right,RGBShift
test,7,aug_test_07,41,set_41,normal,GaussNoise
test,8,aug_test_08,51,set_51,normal,DropRefill
test,9,aug_test_09,60,set_60,down,Scale
test,10,aug_test_10,30,set_30,down,Rotate
test,11,aug_test_11,10,set_10,right,CoarseDropout
