split,aug_index,aug_set_name,source_set,source_name,source_angle,aug_type
train,1,aug_train_01,59,set_59,right,Scale
train,2,aug_train_02,31,set_31,normal,RGBShift
train,3,aug_train_03,22,set_22,up,Sharpen
train,4,aug_train_04,48,set_48,left,GaussianBlur
train,5,aug_train_05,28,set_28,left,RGBShift
train,6,aug_train_06,40,set_40,down,ProcessCroppedImage
train,7,aug_train_07,16,set_16,unknown,TemporalShift
train,8,aug_train_08,43,set_43,left,TemporalShift
train,9,aug_train_09,42,set_42,up,TemporalShift
train,10,aug_train_10,37,set_37,up,Perspective
train,11,aug_train_11,21,set_21,normal,Sharpen
train,12,aug_train_12,24,set_24,right,Brightness
train,13,aug_train_13,32,set_32,up,Brightness
train,14,aug_train_14,16,set_16,unknown,Translate
train,15,aug_train_15,29,set_29,right,HorizontalFlip
train,16,aug_train_16,5,set_05,left,ProcessCroppedImage
train,17,aug_train_17,6,set_06,right,Contrast
train,18,aug_train_18,16,set_16,unknown,GaussianBlur
train,19,aug_train_19,58,set_58,left,Downsample
train,20,aug_train_20,28,set_28,left,Contrast
train,21,aug_train_21,22,set_22,up,TemporalShift
train,22,aug_train_22,48,set_48,left,OpticalDistortion
train,23,aug_train_23,8,set_08,up,Brightness
train,24,aug_train_24,1,set_01,unknown,Downsample
train,25,aug_train_25,17,set_17,normal,OpticalDistortion
train,26,aug_train_26,56,set_56,normal,Sharpen
train,27,aug_train_27,6,set_06,right,Perspective
train,28,aug_train_28,42,set_42,up,Contrast
train,29,aug_train_29,46,set_46,normal,Rotate
train,30,aug_train_30,31,set_31,normal,Contrast
train,31,aug_train_31,46,set_46,normal,Sharpen
train,32,aug_train_32,2,set_02,unknown,RGBShift
train,33,aug_train_33,14,set_14,left,GaussNoise
train,34,aug_train_34,19,set_19,left,Contrast
train,35,aug_train_35,45,set_45,down,Sharpen
train,36,aug_train_36,3,set_03,normal,HorizontalFlip
train,37,aug_train_37,24,set_24,right,GaussianBlur
train,38,aug_train_38,47,set_47,up,TemporalShift
train,39,aug_train_39,29,set_29,right,OpticalDistortion
train,40,aug_train_40,39,set_39,right,Equalize
train,41,aug_train_41,54,set_54,right,Perspective
train,42,aug_train_42,2,set_02,unknown,Downsample
train,43,aug_train_43,17,set_17,normal,ProcessCroppedImage
train,44,aug_train_44,14,set_14,left,Contrast
train,45,aug_train_45,56,set_56,normal,TemporalShift
train,46,aug_train_46,54,set_54,right,GaussianBlur
train,47,aug_train_47,37,set_37,up,Translate
train,48,aug_train_48,17,set_17,normal,Perspective
train,49,aug_train_49,43,set_43,left,OpticalDistortion
train,50,aug_train_50,16,set_16,unknown,OpticalDistortion
train,51,aug_train_51,25,set_25,down,Translate
train,52,aug_train_52,40,set_40,down,Perspective
train,53,aug_train_53,54,set_54,right,OpticalDistortion
train,54,aug_train_54,3,set_03,normal,Downsample
train,55,aug_train_55,55,set_55,down,OpticalDistortion
train,56,aug_train_56,8,set_08,up,Contrast
train,57,aug_train_57,32,set_32,up,Rotate
train,58,aug_train_58,4,set_04,up,ProcessCroppedImage
train,59,aug_train_59,54,set_54,right,HorizontalFlip
train,60,aug_train_60,12,set_12,normal,HorizontalFlip
train,61,aug_train_61,58,set_58,left,Contrast
train,62,aug_train_62,13,set_13,up,OpticalDistortion
train,63,aug_train_63,46,set_46,normal,Equalize
train,64,aug_train_64,37,set_37,up,Downsample
train,65,aug_train_65,59,set_59,right,Contrast
train,66,aug_train_66,48,set_48,left,RGBShift
train,67,aug_train_67,40,set_40,down,Sharpen
train,68,aug_train_68,7,set_07,normal,Contrast
train,69,aug_train_69,43,set_43,left,Rotate
train,70,aug_train_70,33,set_33,left,Equalize
train,71,aug_train_71,31,set_31,normal,TemporalShift
train,72,aug_train_72,52,set_52,up,Scale
train,73,aug_train_73,3,set_03,normal,GaussianBlur
train,74,aug_train_74,20,set_20,right,RGBShift
train,75,aug_train_75,33,set_33,left,Translate
train,76,aug_train_76,14,set_14,left,Perspective
train,77,aug_train_77,24,set_24,right,Sharpen
train,78,aug_train_78,54,set_54,right,Brightness
train,79,aug_train_79,42,set_42,up,RGBShift
train,80,aug_train_80,8,set_08,up,Downsample
train,81,aug_train_81,14,set_14,left,OpticalDistortion
train,82,aug_train_82,20,set_20,right,Equalize
train,83,aug_train_83,24,set_24,right,Scale
train,84,aug_train_84,55,set_55,down,GaussianBlur
train,85,aug_train_85,48,set_48,left,Scale
train,86,aug_train_86,33,set_33,left,Rotate
train,87,aug_train_87,1,set_01,unknown,Rotate
train,88,aug_train_88,49,set_49,right,Rotate
train,89,aug_train_89,42,set_42,up,Perspective
train,90,aug_train_90,58,set_58,left,ProcessCroppedImage
train,91,aug_train_91,24,set_24,right,Downsample
train,92,aug_train_92,19,set_19,left,Scale
train,93,aug_train_93,35,set_35,down,GaussNoise
train,94,aug_train_94,33,set_33,left,Brightness
train,95,aug_train_95,45,set_45,down,Translate
train,96,aug_train_96,6,set_06,right,ProcessCroppedImage
train,97,aug_train_97,14,set_14,left,Sharpen
train,98,aug_train_98,46,set_46,normal,Scale
train,99,aug_train_99,1,set_01,unknown,Perspective
train,100,aug_train_100,37,set_37,up,GaussNoise
train,101,aug_train_101,19,set_19,left,Equalize
train,102,aug_train_102,4,set_04,up,Scale
train,103,aug_train_103,4,set_04,up,Perspective
train,104,aug_train_104,38,set_38,left,Translate
train,105,aug_train_105,47,set_47,up,ProcessCroppedImage
train,106,aug_train_106,28,set_28,left,Translate
train,107,aug_train_107,55,set_55,down,Brightness
train,108,aug_train_108,24,set_24,right,Translate
train,109,aug_train_109,28,set_28,left,HorizontalFlip
train,110,aug_train_110,12,set_12,normal,TemporalShift
train,111,aug_train_111,52,set_52,up,Equalize
train,112,aug_train_112,24,set_24,right,HorizontalFlip
train,113,aug_train_113,39,set_39,right,Scale
train,114,aug_train_114,59,set_59,right,Translate
train,115,aug_train_115,17,set_17,normal,TemporalShift
train,116,aug_train_116,56,set_56,normal,Contrast
train,117,aug_train_117,29,set_29,right,Translate
train,118,aug_train_118,35,set_35,down,Scale
train,119,aug_train_119,28,set_28,left,Downsample
train,120,aug_train_120,21,set_21,normal,Downsample
train,121,aug_train_121,1,set_01,unknown,Translate
train,122,aug_train_122,58,set_58,left,HorizontalFlip
train,123,aug_train_123,48,set_48,left,ProcessCroppedImage
train,124,aug_train_124,40,set_40,down,Scale
train,125,aug_train_125,40,set_40,down,RGBShift
train,126,aug_train_126,2,set_02,unknown,Translate
train,127,aug_train_127,5,set_05,left,GaussNoise
train,128,aug_train_128,20,set_20,right,OpticalDistortion
train,129,aug_train_129,19,set_19,left,OpticalDistortion
train,130,aug_train_130,31,set_31,normal,ProcessCroppedImage
train,131,aug_train_131,43,set_43,left,Brightness
train,132,aug_train_132,29,set_29,right,GaussianBlur
train,133,aug_train_133,8,set_08,up,TemporalShift
train,134,aug_train_134,32,set_32,up,GaussNoise
train,135,aug_train_135,19,set_19,left,GaussianBlur
train,136,aug_train_136,16,set_16,unknown,HorizontalFlip
train,137,aug_train_137,42,set_42,up,ProcessCroppedImage
train,138,aug_train_138,12,set_12,normal,Perspective
train,139,aug_train_139,4,set_04,up,GaussNoise
train,140,aug_train_140,22,set_22,up,Rotate
train,141,aug_train_141,38,set_38,left,Scale
train,142,aug_train_142,19,set_19,left,RGBShift
train,143,aug_train_143,8,set_08,up,ProcessCroppedImage
train,144,aug_train_144,17,set_17,normal,GaussianBlur
train,145,aug_train_145,3,set_03,normal,Perspective
train,146,aug_train_146,42,set_42,up,Equalize
train,147,aug_train_147,47,set_47,up,GaussNoise
train,148,aug_train_148,29,set_29,right,ProcessCroppedImage
train,149,aug_train_149,38,set_38,left,Downsample
train,150,aug_train_150,31,set_31,normal,Rotate
train,151,aug_train_151,14,set_14,left,Rotate
train,152,aug_train_152,45,set_45,down,GaussNoise
train,153,aug_train_153,49,set_49,right,RGBShift
train,154,aug_train_154,55,set_55,down,Equalize
train,155,aug_train_155,49,set_49,right,OpticalDistortion
train,156,aug_train_156,58,set_58,left,RGBShift
train,157,aug_train_157,38,set_38,left,Sharpen
train,158,aug_train_158,48,set_48,left,Sharpen
train,159,aug_train_159,3,set_03,normal,TemporalShift
train,160,aug_train_160,39,set_39,right,Downsample
train,161,aug_train_161,32,set_32,up,OpticalDistortion
train,162,aug_train_162,52,set_52,up,Rotate
train,163,aug_train_163,13,set_13,up,RGBShift
train,164,aug_train_164,49,set_49,right,Equalize
train,165,aug_train_165,8,set_08,up,Rotate
train,166,aug_train_166,39,set_39,right,ProcessCroppedImage
train,167,aug_train_167,47,set_47,up,Downsample
train,168,aug_train_168,20,set_20,right,Perspective
train,169,aug_train_169,13,set_13,up,TemporalShift
train,170,aug_train_170,6,set_06,right,GaussNoise
train,171,aug_train_171,25,set_25,down,ProcessCroppedImage
train,172,aug_train_172,7,set_07,normal,Rotate
train,173,aug_train_173,52,set_52,up,Translate
train,174,aug_train_174,32,set_32,up,RGBShift
train,175,aug_train_175,28,set_28,left,TemporalShift
train,176,aug_train_176,21,set_21,normal,GaussianBlur
train,177,aug_train_177,59,set_59,right,RGBShift
train,178,aug_train_178,17,set_17,normal,Scale
train,179,aug_train_179,38,set_38,left,GaussNoise
train,180,aug_train_180,40,set_40,down,TemporalShift
train,181,aug_train_181,2,set_02,unknown,TemporalShift
train,182,aug_train_182,35,set_35,down,Downsample
train,183,aug_train_183,47,set_47,up,Rotate
train,184,aug_train_184,38,set_38,left,Perspective
train,185,aug_train_185,58,set_58,left,Equalize
train,186,aug_train_186,21,set_21,normal,HorizontalFlip
train,187,aug_train_187,59,set_59,right,OpticalDistortion
train,188,aug_train_188,22,set_22,up,Downsample
train,189,aug_train_189,6,set_06,right,Scale
train,190,aug_train_190,45,set_45,down,Scale
train,191,aug_train_191,1,set_01,unknown,Brightness
train,192,aug_train_192,55,set_55,down,Sharpen
train,193,aug_train_193,48,set_48,left,HorizontalFlip
train,194,aug_train_194,21,set_21,normal,Perspective
train,195,aug_train_195,25,set_25,down,GaussNoise
train,196,aug_train_196,43,set_43,left,Equalize
train,197,aug_train_197,43,set_43,left,HorizontalFlip
train,198,aug_train_198,16,set_16,unknown,Equalize
train,199,aug_train_199,59,set_59,right,Perspective
train,200,aug_train_200,54,set_54,right,Sharpen
train,201,aug_train_201,46,set_46,normal,Contrast
train,202,aug_train_202,29,set_29,right,Perspective
train,203,aug_train_203,13,set_13,up,Rotate
train,204,aug_train_204,35,set_35,down,GaussianBlur
train,205,aug_train_205,3,set_03,normal,ProcessCroppedImage
train,206,aug_train_206,21,set_21,normal,Brightness
train,207,aug_train_207,2,set_02,unknown,GaussianBlur
train,208,aug_train_208,2,set_02,unknown,Sharpen
train,209,aug_train_209,35,set_35,down,Rotate
train,210,aug_train_210,46,set_46,normal,ProcessCroppedImage
train,211,aug_train_211,40,set_40,down,Downsample
train,212,aug_train_212,35,set_35,down,OpticalDistortion
train,213,aug_train_213,31,set_31,normal,Sharpen
train,214,aug_train_214,21,set_21,normal,Equalize
train,215,aug_train_215,33,set_33,left,OpticalDistortion
train,216,aug_train_216,13,set_13,up,HorizontalFlip
train,217,aug_train_217,35,set_35,down,Equalize
train,218,aug_train_218,32,set_32,up,Scale
train,219,aug_train_219,12,set_12,normal,OpticalDistortion
train,220,aug_train_220,39,set_39,right,Rotate
train,221,aug_train_221,4,set_04,up,Translate
train,222,aug_train_222,47,set_47,up,GaussianBlur
train,223,aug_train_223,55,set_55,down,HorizontalFlip
train,224,aug_train_224,5,set_05,left,Brightness
train,225,aug_train_225,13,set_13,up,GaussianBlur
train,226,aug_train_226,37,set_37,up,GaussianBlur
train,227,aug_train_227,47,set_47,up,Contrast
train,228,aug_train_228,5,set_05,left,OpticalDistortion
train,229,aug_train_229,7,set_07,normal,Brightness
train,230,aug_train_230,19,set_19,left,GaussNoise
train,231,aug_train_231,37,set_37,up,Scale
train,232,aug_train_232,16,set_16,unknown,Downsample
train,233,aug_train_233,7,set_07,normal,ProcessCroppedImage
train,234,aug_train_234,22,set_22,up,RGBShift
train,235,aug_train_235,52,set_52,up,RGBShift
train,236,aug_train_236,49,set_49,right,Translate
train,237,aug_train_237,17,set_17,normal,Brightness
train,238,aug_train_238,3,set_03,normal,GaussNoise
train,239,aug_train_239,25,set_25,down,Contrast
train,240,aug_train_240,5,set_05,left,Rotate
train,241,aug_train_241,56,set_56,normal,HorizontalFlip
train,242,aug_train_242,33,set_33,left,TemporalShift
train,243,aug_train_243,13,set_13,up,Brightness
train,244,aug_train_244,56,set_56,normal,Equalize
train,245,aug_train_245,45,set_45,down,Contrast
train,246,aug_train_246,45,set_45,down,RGBShift
train,247,aug_train_247,59,set_59,right,GaussianBlur
train,248,aug_train_248,56,set_56,normal,GaussNoise
train,249,aug_train_249,28,set_28,left,GaussNoise
train,250,aug_train_250,32,set_32,up,Equalize
train,251,aug_train_251,46,set_46,normal,Brightness
train,252,aug_train_252,14,set_14,left,TemporalShift
train,253,aug_train_253,4,set_04,up,Downsample
train,254,aug_train_254,1,set_01,unknown,RGBShift
train,255,aug_train_255,20,set_20,right,Translate
train,256,aug_train_256,54,set_54,right,Translate
train,257,aug_train_257,12,set_12,normal,Contrast
train,258,aug_train_258,6,set_06,right,Brightness
train,259,aug_train_259,25,set_25,down,Scale
train,260,aug_train_260,52,set_52,up,HorizontalFlip
train,261,aug_train_261,7,set_07,normal,HorizontalFlip
train,262,aug_train_262,4,set_04,up,RGBShift
train,263,aug_train_263,25,set_25,down,Brightness
train,264,aug_train_264,52,set_52,up,TemporalShift
train,265,aug_train_265,12,set_12,normal,Brightness
train,266,aug_train_266,1,set_01,unknown,Contrast
train,267,aug_train_267,22,set_22,up,HorizontalFlip
train,268,aug_train_268,55,set_55,down,GaussNoise
train,269,aug_train_269,37,set_37,up,Sharpen
train,270,aug_train_270,5,set_05,left,Perspective
train,271,aug_train_271,39,set_39,right,GaussianBlur
train,272,aug_train_272,2,set_02,unknown,GaussNoise
train,273,aug_train_273,7,set_07,normal,Downsample
train,274,aug_train_274,49,set_49,right,ProcessCroppedImage
train,275,aug_train_275,8,set_08,up,GaussianBlur
train,276,aug_train_276,5,set_05,left,Equalize
train,277,aug_train_277,42,set_42,up,Brightness
train,278,aug_train_278,20,set_20,right,Sharpen
train,279,aug_train_279,39,set_39,right,Perspective
train,280,aug_train_280,58,set_58,left,GaussNoise
train,281,aug_train_281,7,set_07,normal,Scale
train,282,aug_train_282,29,set_29,right,Rotate
train,283,aug_train_283,20,set_20,right,HorizontalFlip
train,284,aug_train_284,25,set_25,down,Sharpen
train,285,aug_train_285,49,set_49,right,Sharpen
train,286,aug_train_286,45,set_45,down,Equalize
train,287,aug_train_287,6,set_06,right,Translate
train,288,aug_train_288,33,set_33,left,Contrast
validation,1,aug_validation_01,9,set_09,left,GaussNoise
validation,2,aug_validation_02,11,set_11,unknown,GaussianBlur
validation,3,aug_validation_03,15,set_15,right,Equalize
validation,4,aug_validation_04,27,set_27,up,Translate
validation,5,aug_validation_05,36,set_36,normal,Perspective
validation,6,aug_validation_06,44,set_44,right,Brightness
validation,7,aug_validation_07,50,set_50,down,RGBShift
validation,8,aug_validation_08,53,set_53,left,Rotate
validation,9,aug_validation_09,57,set_57,up,Sharpen
validation,10,aug_validation_10,36,set_36,normal,OpticalDistortion
validation,11,aug_validation_11,44,set_44,right,Scale
test,1,aug_test_01,10,set_10,right,Perspective
test,2,aug_test_02,18,set_18,up,RGBShift
test,3,aug_test_03,23,set_23,left,ProcessCroppedImage
test,4,aug_test_04,26,set_26,normal,Scale
test,5,aug_test_05,30,set_30,down,HorizontalFlip
test,6,aug_test_06,34,set_34,right,OpticalDistortion
test,7,aug_test_07,41,set_41,normal,GaussNoise
test,8,aug_test_08,51,set_51,normal,Equalize
test,9,aug_test_09,60,set_60,down,Rotate
test,10,aug_test_10,51,set_51,normal,GaussianBlur
test,11,aug_test_11,10,set_10,right,Translate
