split,aug_index,aug_set_name,source_set,source_name,source_angle,aug_type
train,1,aug_train_01,1,set_01,unknown,HorizontalFlip
train,2,aug_train_02,2,set_02,unknown,Scale
train,3,aug_train_03,3,set_03,normal,HorizontalFlip
train,4,aug_train_04,4,set_04,up,Perspective
train,5,aug_train_05,5,set_05,left,OpticalDistortion
train,6,aug_train_06,6,set_06,right,Downsample
train,7,aug_train_07,7,set_07,normal,Perspective
train,8,aug_train_08,8,set_08,up,Sharpen
train,9,aug_train_09,12,set_12,normal,HorizontalFlip
train,10,aug_train_10,13,set_13,up,Equalize
train,11,aug_train_11,14,set_14,left,TemporalShift
train,12,aug_train_12,16,set_16,unknown,ProcessCroppedImage
train,13,aug_train_13,17,set_17,normal,ProcessCroppedImage
train,14,aug_train_14,19,set_19,left,TemporalShift
train,15,aug_train_15,20,set_20,right,Brightness
train,16,aug_train_16,21,set_21,normal,OpticalDistortion
train,17,aug_train_17,22,set_22,up,Translate
train,18,aug_train_18,24,set_24,right,Brightness
train,19,aug_train_19,25,set_25,down,Brightness
train,20,aug_train_20,28,set_28,left,HorizontalFlip
train,21,aug_train_21,29,set_29,right,Scale
train,22,aug_train_22,31,set_31,normal,GaussianBlur
train,23,aug_train_23,32,set_32,up,Contrast
train,24,aug_train_24,33,set_33,left,Perspective
train,25,aug_train_25,35,set_35,down,GaussNoise
train,26,aug_train_26,37,set_37,up,ProcessCroppedImage
train,27,aug_train_27,38,set_38,left,OpticalDistortion
train,28,aug_train_28,39,set_39,right,Contrast
train,29,aug_train_29,40,set_40,down,Perspective
train,30,aug_train_30,42,set_42,up,RGBShift
train,31,aug_train_31,43,set_43,left,RGBShift
train,32,aug_train_32,45,set_45,down,GaussNoise
train,33,aug_train_33,46,set_46,normal,TemporalShift
train,34,aug_train_34,47,set_47,up,ProcessCroppedImage
train,35,aug_train_35,48,set_48,left,GaussianBlur
train,36,aug_train_36,49,set_49,right,Sharpen
train,37,aug_train_37,52,set_52,up,Downsample
train,38,aug_train_38,54,set_54,right,Translate
train,39,aug_train_39,55,set_55,down,Sharpen
train,40,aug_train_40,56,set_56,normal,Rotate
train,41,aug_train_41,58,set_58,left,TemporalShift
train,42,aug_train_42,59,set_59,right,OpticalDistortion
train,43,aug_train_43,1,set_01,unknown,Contrast
train,44,aug_train_44,2,set_02,unknown,Contrast
train,45,aug_train_45,3,set_03,normal,Translate
train,46,aug_train_46,4,set_04,up,RGBShift
train,47,aug_train_47,5,set_05,left,Equalize
train,48,aug_train_48,6,set_06,right,GaussianBlur
train,49,aug_train_49,7,set_07,normal,RGBShift
train,50,aug_train_50,8,set_08,up,GaussianBlur
train,51,aug_train_51,12,set_12,normal,Rotate
train,52,aug_train_52,13,set_13,up,GaussNoise
train,53,aug_train_53,14,set_14,left,HorizontalFlip
train,54,aug_train_54,16,set_16,unknown,OpticalDistortion
train,55,aug_train_55,17,set_17,normal,Downsample
train,56,aug_train_56,19,set_19,left,Perspective
train,57,aug_train_57,20,set_20,right,Scale
train,58,aug_train_58,21,set_21,normal,Translate
train,59,aug_train_59,22,set_22,up,Rotate
train,60,aug_train_60,24,set_24,right,Scale
train,61,aug_train_61,25,set_25,down,HorizontalFlip
train,62,aug_train_62,28,set_28,left,ProcessCroppedImage
train,63,aug_train_63,29,set_29,right,OpticalDistortion
train,64,aug_train_64,31,set_31,normal,Downsample
train,65,aug_train_65,32,set_32,up,Scale
train,66,aug_train_66,33,set_33,left,Contrast
train,67,aug_train_67,35,set_35,down,Rotate
train,68,aug_train_68,37,set_37,up,Brightness
train,69,aug_train_69,38,set_38,left,GaussNoise
train,70,aug_train_70,39,set_39,right,RGBShift
train,71,aug_train_71,40,set_40,down,TemporalShift
train,72,aug_train_72,42,set_42,up,GaussianBlur
train,73,aug_train_73,43,set_43,left,Contrast
train,74,aug_train_74,45,set_45,down,Equalize
train,75,aug_train_75,46,set_46,normal,Sharpen
train,76,aug_train_76,47,set_47,up,Downsample
