set_num,set_name,word,source_frames,written,padded,trimmed_start,trimmed_end,height,width
1,set_01,bat,60,60,0,0,0,1280,720
1,set_01,cup,66,60,0,2,4,1280,720
1,set_01,drop,75,60,0,3,12,1280,720
1,set_01,eat,62,60,0,1,1,1280,720
1,set_01,fish,59,60,1,0,0,1280,720
1,set_01,hot,61,60,0,1,0,1280,720
1,set_01,jump,58,60,2,0,0,1280,720
1,set_01,milk,69,60,0,2,7,1280,720
1,set_01,pen,56,60,4,0,0,1280,720
1,set_01,red,62,60,0,1,1,1280,720
2,set_02,bat,50,60,10,0,0,1280,720
2,set_02,cup,71,60,0,3,8,1280,720
2,set_02,drop,66,60,0,2,4,1280,720
2,set_02,eat,59,60,1,0,0,1280,720
2,set_02,fish,67,60,0,2,5,1280,720
2,set_02,hot,72,60,0,3,9,1280,720
2,set_02,jump,63,60,0,1,2,1280,720
2,set_02,milk,62,60,0,1,1,1280,720
2,set_02,pen,77,60,0,4,13,1280,720
2,set_02,red,65,60,0,1,4,1280,720
3,set_03,bat,64,60,0,1,3,1280,720
3,set_03,cup,71,60,0,3,8,1280,720
3,set_03,drop,75,60,0,3,12,1280,720
3,set_03,eat,72,60,0,3,9,1280,720
3,set_03,fish,69,60,0,2,7,1280,720
3,set_03,hot,61,60,0,1,0,1280,720
3,set_03,jump,81,60,0,5,16,1280,720
3,set_03,milk,64,60,0,1,3,1280,720
3,set_03,pen,68,60,0,2,6,1280,720
3,set_03,red,77,60,0,4,13,1280,720
4,set_04,bat,58,60,2,0,0,1280,720
4,set_04,cup,71,60,0,3,8,1280,720
4,set_04,drop,69,60,0,2,7,1280,720
4,set_04,eat,70,60,0,2,8,1280,720
4,set_04,fish,68,60,0,2,6,1280,720
4,set_04,hot,65,60,0,1,4,1280,720
4,set_04,jump,77,60,0,4,13,1280,720
4,set_04,milk,67,60,0,2,5,1280,720
4,set_04,pen,69,60,0,2,7,1280,720
4,set_04,red,70,60,0,2,8,1280,720
5,set_05,bat,67,60,0,2,5,1280,720
5,set_05,cup,80,60,0,4,16,1280,720
5,set_05,drop,70,60,0,2,8,1280,720
5,set_05,eat,62,60,0,1,1,1280,720
5,set_05,fish,70,60,0,2,8,1280,720
5,set_05,hot,64,60,0,1,3,1280,720
5,set_05,jump,57,60,3,0,0,1280,720
5,set_05,milk,64,60,0,1,3,1280,720
5,set_05,pen,74,60,0,3,11,1280,720
5,set_05,red,67,60,0,2,5,1280,720
6,set_06,bat,65,60,0,1,4,1280,720
6,set_06,cup,67,60,0,2,5,1280,720
6,set_06,drop,71,60,0,3,8,1280,720
6,set_06,eat,67,60,0,2,5,1280,720
6,set_06,fish,63,60,0,1,2,1280,720
6,set_06,hot,74,60,0,3,11,1280,720
6,set_06,jump,72,60,0,3,9,1280,720
6,set_06,milk,70,60,0,2,8,1280,720
6,set_06,pen,65,60,0,1,4,1280,720
6,set_06,red,74,60,0,3,11,1280,720
7,set_07,bat,64,60,0,1,3,1280,720
7,set_07,cup,61,60,0,1,0,1280,720
7,set_07,drop,62,60,0,1,1,1280,720
7,set_07,eat,66,60,0,2,4,1280,720
7,set_07,fish,83,60,0,5,18,1280,720
7,set_07,hot,73,60,0,3,10,1280,720
7,set_07,jump,80,60,0,4,16,1280,720
7,set_07,milk,64,60,0,1,3,1280,720
7,set_07,pen,64,60,0,1,3,1280,720
7,set_07,red,69,60,0,2,7,1280,720
8,set_08,bat,69,60,0,2,7,1280,720
8,set_08,cup,68,60,0,2,6,1280,720
8,set_08,drop,70,60,0,2,8,1280,720
8,set_08,eat,58,60,2,0,0,1280,720
8,set_08,fish,71,60,0,3,8,1280,720
8,set_08,hot,65,60,0,1,4,1280,720
8,set_08,jump,71,60,0,3,8,1280,720
8,set_08,milk,67,60,0,2,5,1280,720
8,set_08,pen,64,60,0,1,3,1280,720
8,set_08,red,74,60,0,3,11,1280,720
9,set_09,bat,64,60,0,1,3,1280,720
9,set_09,cup,64,60,0,1,3,1280,720
9,set_09,drop,75,60,0,3,12,1280,720
9,set_09,eat,63,60,0,1,2,1280,720
9,set_09,fish,75,60,0,3,12,1280,720
9,set_09,hot,68,60,0,2,6,1280,720
9,set_09,jump,72,60,0,3,9,1280,720
9,set_09,milk,65,60,0,1,4,1280,720
9,set_09,pen,66,60,0,2,4,1280,720
9,set_09,red,69,60,0,2,7,1280,720
10,set_10,bat,61,60,0,1,0,1280,720
10,set_10,cup,68,60,0,2,6,1280,720
10,set_10,drop,80,60,0,4,16,1280,720
10,set_10,eat,66,60,0,2,4,1280,720
10,set_10,fish,74,60,0,3,11,1280,720
10,set_10,hot,69,60,0,2,7,1280,720
10,set_10,jump,78,60,0,4,14,1280,720
10,set_10,milk,62,60,0,1,1,1280,720
10,set_10,pen,67,60,0,2,5,1280,720
10,set_10,red,69,60,0,2,7,1280,720
11,set_11,bat,59,60,1,0,0,1280,720
11,set_11,cup,59,60,1,0,0,1280,720
11,set_11,drop,59,60,1,0,0,1280,720
11,set_11,eat,54,60,6,0,0,1280,720
11,set_11,fish,69,60,0,2,7,1280,720
11,set_11,hot,58,60,2,0,0,1280,720
11,set_11,jump,67,60,0,2,5,1280,720
11,set_11,milk,59,60,1,0,0,1280,720
11,set_11,pen,82,60,0,5,17,1280,720
11,set_11,red,54,60,6,0,0,1280,720
12,set_12,bat,57,60,3,0,0,1280,720
12,set_12,cup,61,60,0,1,0,1280,720
12,set_12,drop,75,60,0,3,12,1280,720
12,set_12,eat,70,60,0,2,8,1280,720
12,set_12,fish,73,60,0,3,10,1280,720
12,set_12,hot,71,60,0,3,8,1280,720
12,set_12,jump,72,60,0,3,9,1280,720
12,set_12,milk,70,60,0,2,8,1280,720
12,set_12,pen,65,60,0,1,4,1280,720
12,set_12,red,73,60,0,3,10,1280,720
13,set_13,bat,57,60,3,0,0,1280,720
13,set_13,cup,58,60,2,0,0,1280,720
13,set_13,drop,70,60,0,2,8,1280,720
13,set_13,eat,59,60,1,0,0,1280,720
13,set_13,fish,71,60,0,3,8,1280,720
13,set_13,hot,75,60,0,3,12,1280,720
13,set_13,jump,62,60,0,1,1,1280,720
