config,seed,train_samples,val_samples,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds
A_original,11,900,200,1.0,0.675000011920929,0.7250000238418579,0.9408389329910278,11,44.5
A_original,22,900,200,1.0,0.699999988079071,0.7300000190734863,0.9168071150779724,11,43.9
A_original,33,900,200,1.0,0.6700000166893005,0.699999988079071,0.8959778547286987,12,44.8
A_original,44,900,200,1.0,0.6700000166893005,0.699999988079071,1.0142402648925781,14,45.1
A_original,55,900,200,1.0,0.6850000023841858,0.7350000143051147,0.842629075050354,11,44.8
B_temporal,11,900,200,1.0,0.7049999833106995,0.7450000047683716,0.8630837798118591,12,45.6
B_temporal,22,900,200,1.0,0.7200000286102295,0.7400000095367432,0.8742979168891907,13,44.2
B_temporal,33,900,200,1.0,0.6850000023841858,0.7049999833106995,0.8538362979888916,9,44.0
B_temporal,44,900,200,1.0,0.6399999856948853,0.6600000262260437,1.000903606414795,12,44.0
B_temporal,55,900,200,1.0,0.675000011920929,0.7300000190734863,0.8467699289321899,12,44.6
C_photogeo,11,900,200,1.0,0.6899999976158142,0.6949999928474426,0.9416821002960205,11,44.0
C_photogeo,22,900,200,1.0,0.7200000286102295,0.7250000238418579,0.9657552242279053,15,43.6
C_photogeo,33,900,200,1.0,0.6650000214576721,0.7149999737739563,0.9192907810211182,12,43.6
C_photogeo,44,900,200,1.0,0.6549999713897705,0.699999988079071,0.9976548552513123,12,43.8
C_photogeo,55,900,200,1.0,0.6700000166893005,0.6899999976158142,0.9440330266952515,11,43.6
D_volume,11,1380,200,1.0,0.7649999856948853,0.7749999761581421,0.7438228130340576,14,58.3
D_volume,22,1380,200,1.0,0.75,0.75,0.7494403719902039,11,58.2
D_volume,33,1380,200,1.0,0.7350000143051147,0.7649999856948853,0.6856045722961426,11,57.8
D_volume,44,1380,200,1.0,0.7250000238418579,0.7350000143051147,0.8025539517402649,10,58.2
D_volume,55,1380,200,1.0,0.7400000095367432,0.7649999856948853,0.7201783657073975,8,58.6
E_full,11,1380,250,1.0,0.7200000286102295,0.7239999771118164,0.8340969681739807,6,59.5
E_full,22,1380,250,1.0,0.671999990940094,0.7160000205039978,0.9063082933425903,7,59.9
E_full,33,1380,250,1.0,0.7039999961853027,0.7080000042915344,0.8914503455162048,9,59.6
E_full,44,1380,250,1.0,0.6880000233650208,0.7120000123977661,0.9143463373184204,11,59.5
E_full,55,1380,250,1.0,0.6880000233650208,0.7120000123977661,0.8514304757118225,12,59.7
F_full_temporal,11,1380,250,1.0,0.7160000205039978,0.7279999852180481,0.9098175764083862,6,60.3
F_full_temporal,22,1380,250,1.0,0.7239999771118164,0.7639999985694885,0.8521279692649841,14,59.4
F_full_temporal,33,1380,250,1.0,0.7080000042915344,0.7200000286102295,0.8908108472824097,7,61.7
F_full_temporal,44,1380,250,1.0,0.699999988079071,0.7200000286102295,0.9228379726409912,11,60.2
F_full_temporal,55,1380,250,1.0,0.7360000014305115,0.7480000257492065,0.8078840374946594,10,59.6
G_full_photogeo,11,1380,250,1.0,0.6880000233650208,0.6880000233650208,0.9326154589653015,8,60.0
G_full_photogeo,22,1380,250,1.0,0.6759999990463257,0.6959999799728394,0.9867426156997681,12,59.6
G_full_photogeo,33,1380,250,1.0,0.671999990940094,0.6800000071525574,0.89286208152771,9,59.8
G_full_photogeo,44,1380,250,1.0,0.6600000262260437,0.6919999718666077,0.9895904064178467,11,59.7
G_full_photogeo,55,1380,250,1.0,0.6759999990463257,0.6959999799728394,0.8940996527671814,6,59.7
H_vol144,11,1860,200,1.0,0.6700000166893005,0.7149999737739563,0.8552188277244568,6,74.7
H_vol144,22,1860,200,1.0,0.7300000190734863,0.7400000095367432,0.8689670562744141,10,74.4
H_vol144,33,1860,200,1.0,0.7049999833106995,0.7400000095367432,0.8815843462944031,11,72.9
H_vol144,44,1860,200,1.0,0.6949999928474426,0.7250000238418579,0.935202956199646,6,72.7
H_vol144,55,1860,200,1.0,0.7300000190734863,0.7450000047683716,0.8019001483917236,5,73.0
I_vol192,11,2340,200,1.0,0.7300000190734863,0.7350000143051147,0.7915779948234558,5,87.5
I_vol192,22,2340,200,1.0,0.7200000286102295,0.7699999809265137,0.7934542298316956,7,86.5
I_vol192,33,2340,200,1.0,0.75,0.7699999809265137,0.7622429132461548,4,87.5
I_vol192,44,2340,200,1.0,0.7099999785423279,0.7400000095367432,0.8411810398101807,10,86.8
I_vol192,55,2340,200,1.0,0.7549999952316284,0.7699999809265137,0.7438014149665833,8,87.5
J_vol288,11,3300,200,1.0,0.7200000286102295,0.75,0.8839671611785889,5,116.5
J_vol288,22,3300,200,1.0,0.75,0.7599999904632568,0.880654513835907,7,116.3
J_vol288,33,3300,200,1.0,0.7099999785423279,0.7250000238418579,0.8932021856307983,5,116.0
J_vol288,44,3300,200,1.0,0.6800000071525574,0.7350000143051147,0.922483503818512,6,115.7
J_vol288,55,3300,200,1.0,0.7250000238418579,0.75,0.8771741986274719,7,116.1
