config,dataset,seed,params,train_samples,epochs,batch,lr,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds
L2_a4_1e2,d138,11,51434058,1380,25,16,0.0001,1.0,0.7649999856948853,0.7649999856948853,0.729326605796814,16,90.3
L2_a4_1e2,d138,22,51434058,1380,25,16,0.0001,1.0,0.7450000047683716,0.7649999856948853,0.7273741364479065,11,90.4
L2_a4_1e2,d138,33,51434058,1380,25,16,0.0001,1.0,0.7149999737739563,0.7400000095367432,0.729874849319458,11,90.6
L2_a4_1e2,d234,11,51434058,2340,25,16,0.0001,1.0,0.7149999737739563,0.75,0.7870474457740784,8,139.0
L2_a4_1e2,d234,22,51434058,2340,25,16,0.0001,1.0,0.7450000047683716,0.7649999856948853,0.8020609021186829,7,138.2
L2_a4_1e2,d234,33,51434058,2340,25,16,0.0001,1.0,0.6949999928474426,0.7649999856948853,0.7631639838218689,4,138.6
L2_a4_1e2,d90,11,51434058,900,25,16,0.0001,1.0,0.7049999833106995,0.7149999737739563,0.941694438457489,11,66.3
L2_a4_1e2,d90,22,51434058,900,25,16,0.0001,1.0,0.7200000286102295,0.7450000047683716,0.9239954948425293,15,66.2
L2_a4_1e2,d90,33,51434058,900,25,16,0.0001,1.0,0.6850000023841858,0.7049999833106995,0.89617520570755,12,66.7
L2_a4_1e3,d138,11,51434058,1380,25,16,0.0001,1.0,0.7699999809265137,0.7699999809265137,0.7241887450218201,16,90.6
L2_a4_1e3,d138,22,51434058,1380,25,16,0.0001,1.0,0.7350000143051147,0.7649999856948853,0.7316884398460388,11,90.1
L2_a4_1e3,d138,33,51434058,1380,25,16,0.0001,1.0,0.7200000286102295,0.7400000095367432,0.7245440483093262,11,90.4
L2_a4_1e3,d234,11,51434058,2340,25,16,0.0001,1.0,0.699999988079071,0.7350000143051147,0.7996524572372437,8,144.1
L2_a4_1e3,d234,22,51434058,2340,25,16,0.0001,1.0,0.7300000190734863,0.7450000047683716,0.7999534606933594,7,138.9
L2_a4_1e3,d234,33,51434058,2340,25,16,0.0001,1.0,0.7099999785423279,0.7799999713897705,0.7626750469207764,4,138.7
L2_a4_1e3,d90,11,51434058,900,25,16,0.0001,1.0,0.7350000143051147,0.7350000143051147,0.9407130479812622,11,66.3
L2_a4_1e3,d90,22,51434058,900,25,16,0.0001,1.0,0.7450000047683716,0.7450000047683716,0.927768886089325,11,66.4
L2_a4_1e3,d90,33,51434058,900,25,16,0.0001,1.0,0.6949999928474426,0.7099999785423279,0.8968604207038879,12,66.5
L2_a4_1e4,d138,11,51434058,1380,25,16,0.0001,1.0,0.7749999761581421,0.7749999761581421,0.7206595540046692,16,90.4
L2_a4_1e4,d138,22,51434058,1380,25,16,0.0001,1.0,0.7450000047683716,0.7699999809265137,0.7051061987876892,11,90.4
L2_a4_1e4,d138,33,51434058,1380,25,16,0.0001,1.0,0.7149999737739563,0.7450000047683716,0.7266566753387451,11,90.6
L2_a4_1e4,d234,11,51434058,2340,25,16,0.0001,1.0,0.7099999785423279,0.7350000143051147,0.7948251366615295,5,138.7
L2_a4_1e4,d234,22,51434058,2340,25,16,0.0001,1.0,0.7400000095367432,0.7599999904632568,0.8041134476661682,7,138.7
L2_a4_1e4,d234,33,51434058,2340,25,16,0.0001,1.0,0.6899999976158142,0.7699999809265137,0.7649193406105042,4,138.7
L2_a4_1e4,d90,11,51434058,900,25,16,0.0001,1.0,0.7200000286102295,0.7200000286102295,0.9378930926322937,11,66.3
L2_a4_1e4,d90,22,51434058,900,25,16,0.0001,1.0,0.7400000095367432,0.7549999952316284,0.9275667071342468,15,66.4
L2_a4_1e4,d90,33,51434058,900,25,16,0.0001,1.0,0.6850000023841858,0.7049999833106995,0.8988140821456909,12,66.1
L2_a4_1e5,d138,11,51434058,1380,25,16,0.0001,1.0,0.7749999761581421,0.7749999761581421,0.7239817976951599,16,90.4
L2_a4_1e5,d138,22,51434058,1380,25,16,0.0001,1.0,0.7699999809265137,0.7749999761581421,0.729508638381958,11,90.3
L2_a4_1e5,d138,33,51434058,1380,25,16,0.0001,1.0,0.7200000286102295,0.7450000047683716,0.7253521680831909,11,90.8
L2_a4_1e5,d234,11,51434058,2340,25,16,0.0001,1.0,0.7099999785423279,0.7450000047683716,0.7910544872283936,5,138.8
L2_a4_1e5,d234,22,51434058,2340,25,16,0.0001,1.0,0.7250000238418579,0.7749999761581421,0.803792417049408,7,143.5
L2_a4_1e5,d234,33,51434058,2340,25,16,0.0001,1.0,0.7099999785423279,0.7699999809265137,0.7624369263648987,4,138.8
L2_a4_1e5,d90,11,51434058,900,25,16,0.0001,1.0,0.7350000143051147,0.7350000143051147,0.9396446943283081,11,66.2
L2_a4_1e5,d90,22,51434058,900,25,16,0.0001,1.0,0.7200000286102295,0.7450000047683716,0.9318004846572876,15,66.2
L2_a4_1e5,d90,33,51434058,900,25,16,0.0001,1.0,0.6949999928474426,0.7099999785423279,0.896056056022644,12,66.5
L2_a5_1e2,d138,11,25817802,1380,25,16,0.0001,1.0,0.6700000166893005,0.7350000143051147,0.8958926200866699,6,89.2
L2_a5_1e2,d138,22,25817802,1380,25,16,0.0001,1.0,0.7149999737739563,0.75,0.9404722452163696,10,89.3
L2_a5_1e2,d138,33,25817802,1380,25,16,0.0001,1.0,0.6800000071525574,0.7149999737739563,0.9419482946395874,10,89.0
L2_a5_1e2,d234,11,25817802,2340,25,16,0.0001,1.0,0.7250000238418579,0.7799999713897705,0.7987038493156433,8,135.6
L2_a5_1e2,d234,22,25817802,2340,25,16,0.0001,1.0,0.7149999737739563,0.7699999809265137,0.8279126882553101,7,136.0
L2_a5_1e2,d234,33,25817802,2340,25,16,0.0001,1.0,0.7250000238418579,0.7549999952316284,0.8458244204521179,6,134.9
L2_a5_1e2,d90,11,25817802,900,25,16,0.0001,1.0,0.7049999833106995,0.7400000095367432,0.9595558047294617,8,65.8
L2_a5_1e2,d90,22,25817802,900,25,16,0.0001,1.0,0.6650000214576721,0.7300000190734863,0.9986918568611145,11,66.0
L2_a5_1e2,d90,33,25817802,900,25,16,0.0001,1.0,0.6600000262260437,0.7400000095367432,0.9056677222251892,11,65.6
L2_a5_1e3,d138,11,25817802,1380,25,16,0.0001,1.0,0.6650000214576721,0.7200000286102295,0.897091269493103,6,89.5
L2_a5_1e3,d138,22,25817802,1380,25,16,0.0001,1.0,0.699999988079071,0.7450000047683716,0.942649245262146,10,89.2
L2_a5_1e3,d138,33,25817802,1380,25,16,0.0001,1.0,0.6899999976158142,0.7200000286102295,0.9451234340667725,10,88.6
L2_a5_1e3,d234,11,25817802,2340,25,16,0.0001,1.0,0.699999988079071,0.7599999904632568,0.8003395199775696,8,135.5
L2_a5_1e3,d234,22,25817802,2340,25,16,0.0001,1.0,0.7250000238418579,0.7549999952316284,0.8321096897125244,7,135.5
L2_a5_1e3,d234,33,25817802,2340,25,16,0.0001,1.0,0.7200000286102295,0.7549999952316284,0.840191662311554,6,135.1
L2_a5_1e3,d90,11,25817802,900,25,16,0.0001,1.0,0.7099999785423279,0.75,0.9630054235458374,13,66.3
L2_a5_1e3,d90,22,25817802,900,25,16,0.0001,1.0,0.675000011920929,0.75,1.0003936290740967,11,65.8
L2_a5_1e3,d90,33,25817802,900,25,16,0.0001,1.0,0.6800000071525574,0.7300000190734863,0.9112694263458252,11,66.1
L2_a5_1e4,d138,11,25817802,1380,25,16,0.0001,1.0,0.6650000214576721,0.7300000190734863,0.8960314989089966,6,88.8
L2_a5_1e4,d138,22,25817802,1380,25,16,0.0001,1.0,0.699999988079071,0.7400000095367432,0.9321137070655823,10,91.0
L2_a5_1e4,d138,33,25817802,1380,25,16,0.0001,1.0,0.675000011920929,0.7099999785423279,0.9439784288406372,10,89.0
L2_a5_1e4,d234,11,25817802,2340,25,16,0.0001,1.0,0.6949999928474426,0.7850000262260437,0.7888498902320862,8,135.3
L2_a5_1e4,d234,22,25817802,2340,25,16,0.0001,1.0,0.7400000095367432,0.75,0.8236103653907776,7,135.5
L2_a5_1e4,d234,33,25817802,2340,25,16,0.0001,1.0,0.7300000190734863,0.7549999952316284,0.8373075127601624,6,135.4
L2_a5_1e4,d90,11,25817802,900,25,16,0.0001,1.0,0.7099999785423279,0.7350000143051147,0.9593665599822998,8,66.1
L2_a5_1e4,d90,22,25817802,900,25,16,0.0001,1.0,0.6600000262260437,0.7400000095367432,0.9970929026603699,11,65.9
L2_a5_1e4,d90,33,25817802,900,25,16,0.0001,1.0,0.6800000071525574,0.7450000047683716,0.9051480293273926,11,65.8
L2_a5_1e5,d138,11,25817802,1380,25,16,0.0001,1.0,0.6600000262260437,0.7250000238418579,0.8991767168045044,7,89.3
L2_a5_1e5,d138,22,25817802,1380,25,16,0.0001,1.0,0.7200000286102295,0.7400000095367432,0.941048264503479,10,89.0
