config,seed,params,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds
f0_e2_tanh,11,2782666,0.9877777695655823,0.7599999904632568,0.7599999904632568,0.7954034209251404,11,53.5
f0_e2_tanh,22,2782666,0.9833333492279053,0.7099999785423279,0.7300000190734863,0.7693095207214355,12,43.7
f0_e2_tanh,33,2782666,0.9777777791023254,0.7799999713897705,0.7799999713897705,0.7337194681167603,13,43.1
f0_e2_tanh,44,2782666,0.9944444298744202,0.7099999785423279,0.7149999737739563,0.8899067044258118,12,45.3
f0_e2_tanh,55,2782666,0.9877777695655823,0.7400000095367432,0.7400000095367432,0.8285360932350159,14,42.9
f1_e2_relu,11,2782666,0.8999999761581421,0.6399999856948853,0.6399999856948853,1.0663594007492065,15,47.5
f1_e2_relu,22,2782666,0.9355555772781372,0.6100000143051147,0.625,1.0715793371200562,14,42.4
f1_e2_relu,33,2782666,0.8811110854148865,0.6949999928474426,0.6949999928474426,1.1545042991638184,12,42.2
f1_e2_relu,44,2782666,0.9377777576446533,0.6499999761581421,0.6499999761581421,1.1342817544937134,11,42.4
f1_e2_relu,55,2782666,0.9155555367469788,0.6899999976158142,0.6899999976158142,1.051764965057373,12,42.9
f2_c0_relu,11,51434058,0.9866666793823242,0.550000011920929,0.6600000262260437,1.1073167324066162,9,42.2
f2_c0_relu,22,51434058,0.9988889098167419,0.7099999785423279,0.7250000238418579,1.004878044128418,14,41.6
f2_c0_relu,33,51434058,1.0,0.6800000071525574,0.6800000071525574,1.0167287588119507,11,42.3
f2_c0_relu,44,51434058,0.9988889098167419,0.6299999952316284,0.6700000166893005,1.1092233657836914,8,40.0
f2_c0_relu,55,51434058,0.9988889098167419,0.6850000023841858,0.7350000143051147,0.9387989640235901,11,37.2
