config,seed,total_params,trainable_params,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds,epochs_run,train_samples
m0_baseline,11,2270794,12810,0.2888889014720917,0.3100000023841858,0.3100000023841858,1.8950505256652832,15,52.6,,
m0_baseline,22,2270794,12810,0.2966666519641876,0.2849999964237213,0.2849999964237213,1.929282546043396,15,52.2,,
m0_baseline,33,2270794,12810,0.2922222316265106,0.3149999976158142,0.32499998807907104,1.895325779914856,15,52.6,,
m0_baseline,44,2270794,12810,0.30666667222976685,0.3149999976158142,0.3149999976158142,1.8962100744247437,15,53.1,,
m0_baseline,55,2270794,12810,0.30222222208976746,0.29499998688697815,0.3149999976158142,1.9215340614318848,15,52.4,,
m10_flat_dense_drop,11,18317130,16059146,1.0,0.5950000286102295,0.6549999713897705,1.1415270566940308,12,55.8,,
m10_flat_dense_drop,22,18317130,16059146,0.9977777600288391,0.6200000047683716,0.625,1.1096408367156982,14,55.8,,
m10_flat_dense_drop,33,18317130,16059146,0.9988889098167419,0.6100000143051147,0.6399999856948853,1.0531727075576782,6,54.2,,
m10_flat_dense_drop,44,18317130,16059146,1.0,0.6449999809265137,0.6499999761581421,1.0522892475128174,8,53.4,,
m10_flat_dense_drop,55,18317130,16059146,1.0,0.6499999761581421,0.6499999761581421,1.0086654424667358,10,53.1,,
m11_flat_dense64,11,6272778,4014794,1.0,0.6399999856948853,0.6449999809265137,1.028031349182129,14,53.5,,
m11_flat_dense64,22,6272778,4014794,1.0,0.6150000095367432,0.6200000047683716,1.1394803524017334,10,53.4,,
m11_flat_dense64,33,6272778,4014794,1.0,0.625,0.625,1.1771252155303955,9,53.9,,
m11_flat_dense64,44,6272778,4014794,1.0,0.5950000286102295,0.6200000047683716,1.0348215103149414,15,53.0,,
m11_flat_dense64,55,6272778,4014794,1.0,0.625,0.625,1.1366275548934937,10,52.8,,
m12_efficientnet,11,20108717,16059146,0.9711111187934875,0.7200000286102295,0.7200000286102295,0.8181077837944031,15,72.0,,
m12_efficientnet,22,20108717,16059146,0.9644444584846497,0.7350000143051147,0.7649999856948853,0.7739806175231934,14,73.5,,
m12_efficientnet,33,20108717,16059146,0.9555555582046509,0.6899999976158142,0.7049999833106995,0.8164095878601074,14,72.6,,
m12_efficientnet,44,20108717,16059146,0.9555555582046509,0.7400000095367432,0.7400000095367432,0.8393767476081848,15,71.8,,
m12_efficientnet,55,20108717,16059146,0.9755555391311646,0.7300000190734863,0.7350000143051147,0.8211362361907959,15,73.4,,
m13_eff_unfreeze20,11,20108717,17410106,0.9888888597488403,0.7149999737739563,0.7599999904632568,0.8217974305152893,5,81.1,15.0,900.0
m13_eff_unfreeze20,22,20108717,17410106,0.9877777695655823,0.7350000143051147,0.7649999856948853,0.8011343479156494,8,80.1,15.0,900.0
m13_eff_unfreeze20,33,20108717,17410106,0.9877777695655823,0.7599999904632568,0.800000011920929,0.7737919688224792,6,80.1,15.0,900.0
m13_eff_unfreeze20,44,20108717,17410106,0.992222249507904,0.7149999737739563,0.7649999856948853,0.8440608978271484,6,80.8,15.0,900.0
m13_eff_unfreeze20,55,20108717,17410106,0.9933333396911621,0.7549999952316284,0.7900000214576721,0.7850313782691956,10,81.6,15.0,900.0
m14_eff_epochs40,11,20108717,16059146,0.9977777600288391,0.7149999737739563,0.75,0.7192156314849854,27,125.5,40.0,900.0
m14_eff_epochs40,22,20108717,16059146,0.996666669845581,0.7649999856948853,0.8100000023841858,0.717415452003479,27,123.7,40.0,900.0
m14_eff_epochs40,33,20108717,16059146,0.9977777600288391,0.75,0.7749999761581421,0.7453700304031372,30,123.8,40.0,900.0
m14_eff_epochs40,44,20108717,16059146,0.9977777600288391,0.7599999904632568,0.7749999761581421,0.7396948337554932,31,122.4,40.0,900.0
m14_eff_epochs40,55,20108717,16059146,1.0,0.75,0.7749999761581421,0.6863182187080383,38,123.3,40.0,900.0
m15_eff_volume,11,20108717,16059146,0.9702898263931274,0.7350000143051147,0.7400000095367432,0.7381864786148071,11,86.5,15.0,1380.0
m15_eff_volume,22,20108717,16059146,0.980434775352478,0.7300000190734863,0.7300000190734863,0.7958937287330627,14,84.7,15.0,1380.0
m15_eff_volume,33,20108717,16059146,0.9702898263931274,0.75,0.75,0.8130822777748108,15,85.6,15.0,1380.0
m15_eff_volume,44,20108717,16059146,0.9688405990600586,0.7149999737739563,0.7300000190734863,0.8183888792991638,13,87.6,15.0,1380.0
m15_eff_volume,55,20108717,16059146,0.9760869741439819,0.7300000190734863,0.7300000190734863,0.7945142984390259,15,86.1,15.0,1380.0
m16_vgg16,11,21140042,6425354,0.852222204208374,0.6399999856948853,0.6399999856948853,1.168692946434021,13,104.3,15.0,900.0
m16_vgg16,22,21140042,6425354,0.8433333039283752,0.5649999976158142,0.574999988079071,1.2381441593170166,14,107.4,15.0,900.0
m16_vgg16,33,21140042,6425354,0.8233333230018616,0.5899999737739563,0.5950000286102295,1.240573525428772,14,111.6,15.0,900.0
m16_vgg16,44,21140042,6425354,0.8722222447395325,0.574999988079071,0.6050000190734863,1.1709799766540527,14,110.2,15.0,900.0
m16_vgg16,55,21140042,6425354,0.8411111235618591,0.5950000286102295,0.6200000047683716,1.1702195405960083,15,109.2,15.0,900.0
m17_vgg16_epochs40,11,21140042,6425354,0.9877777695655823,0.7149999737739563,0.7149999737739563,0.8630943894386292,40,262.6,40.0,900.0
m17_vgg16_epochs40,22,21140042,6425354,0.9811111092567444,0.6499999761581421,0.6899999976158142,0.9851162433624268,39,261.6,40.0,900.0
m17_vgg16_epochs40,33,21140042,6425354,0.9811111092567444,0.6549999713897705,0.7200000286102295,0.8849552869796753,39,266.9,40.0,900.0
m17_vgg16_epochs40,44,21140042,6425354,0.9911110997200012,0.7300000190734863,0.7300000190734863,0.9285499453544617,40,236.3,40.0,900.0
m17_vgg16_epochs40,55,21140042,6425354,0.9944444298744202,0.675000011920929,0.7200000286102295,0.8758598566055298,35,235.8,40.0,900.0
m18_eff_epochs80,11,20108717,16059146,1.0,0.7200000286102295,0.7799999713897705,0.7288762927055359,57,201.5,80.0,900.0
m18_eff_epochs80,22,20108717,16059146,0.9911110997200012,0.7450000047683716,0.7900000214576721,0.7076462507247925,27,205.3,80.0,900.0
m18_eff_epochs80,33,20108717,16059146,0.9933333396911621,0.7300000190734863,0.7850000262260437,0.7338257431983948,55,203.5,80.0,900.0
m18_eff_epochs80,44,20108717,16059146,1.0,0.7599999904632568,0.7950000166893005,0.6963879466056824,36,202.2,80.0,900.0
m18_eff_epochs80,55,20108717,16059146,1.0,0.7699999809265137,0.7850000262260437,0.6770438551902771,38,205.4,80.0,900.0
m19_vgg16_epochs80,11,21140042,6425354,1.0,0.675000011920929,0.7350000143051147,0.8584221005439758,68,459.0,80.0,900.0
m19_vgg16_epochs80,22,21140042,6425354,1.0,0.6600000262260437,0.7149999737739563,0.9163978695869446,56,457.0,80.0,900.0
m19_vgg16_epochs80,33,21140042,6425354,1.0,0.6650000214576721,0.7599999904632568,0.8212335109710693,48,457.7,80.0,900.0
